<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
آسيا-ت,13880930,0,0,0,13.75,0,0.00,0,14
آسيا-ت,13881001,0,0,0,13.75,0,0.00,0,14
آسيا-ت,13881002,20.43,20,20,20.43,45404300,67470789800.00,522,14
آسيا-ت,13881007,21.14,21,21,20.92,250350,385038300.00,94,20
آسيا-ت,13881008,21.65,22,22,21.40,243152,382964400.00,57,21
آسيا-ت,13881009,22.14,22,22,21.62,106400,171410400.00,43,21
آسيا-ت,13881012,22.38,22,22,21.98,171243,278783604.00,50,22
آسيا-ت,13881013,22.73,23,23,22.25,132645,219394830.00,41,22
آسيا-ت,13881014,23.02,23,23,23.02,17068202,28589238350.00,4289,22
آسيا-ت,13881015,23.82,24,24,23.82,5133305,8896017565.00,777,23
آسيا-ت,13881016,24.65,25,25,24.65,3625013,6499648309.00,269,24
آسيا-ت,13881019,25.50,25,25,25.50,4421125,8201186875.00,270,25
آسيا-ت,13881020,26.38,26,25,26.05,30531848,57862020697.00,4873,25
آسيا-ت,13881021,25.14,27,25,26.54,26712549,51582678990.00,2327,26
آسيا-ت,13881022,27.46,27,26,27.42,19864191,39621535757.00,1798,27
آسيا-ت,13881023,28.36,28,28,28.36,13768849,28402057062.00,985,27
آسيا-ت,13881026,28.99,29,29,29.19,28111449,59709655098.00,701,28
آسيا-ت,13881027,30.09,30,29,30.05,5031686,10997328716.00,626,29
آسيا-ت,13881028,29.55,30,29,29.02,2816127,5943953100.00,275,30
آسيا-ت,13881029,28.01,28,28,28.01,688943,1404065834.00,54,29
آسيا-ت,13881030,27.04,28,27,27.28,5818584,11551182136.00,741,28
آسيا-ت,13881103,27.23,28,27,27.71,22578141,45507258981.00,1295,27
آسيا-ت,13881104,28.66,29,28,28.44,6805501,14081840143.00,495,28
آسيا-ت,13881105,27.83,28,27,27.64,2082454,4187612444.00,207,28
آسيا-ت,13881106,27.49,28,27,27.50,2185048,4372745022.00,282,28
آسيا-ت,13881107,27.49,28,27,27.49,1662529,3325735700.00,146,28
آسيا-ت,13881110,27.63,28,27,26.82,1787078,3486378176.00,161,27
آسيا-ت,13881111,26.62,28,26,27.74,8162896,16469600490.00,427,27
آسيا-ت,13881112,28.38,29,28,28.30,1183245,2436705976.00,170,28
آسيا-ت,13881113,27.64,29,28,28.36,580580,1197940094.00,88,28
آسيا-ت,13881114,28.18,29,28,28.33,866670,1786037417.00,112,28
آسيا-ت,13881117,27.50,29,28,28.21,1822632,3739220436.00,181,28
آسيا-ت,13881118,28.19,28,28,28.19,487355,999381129.00,77,28
آسيا-ت,13881119,28.18,29,28,29.02,8793885,18564335870.00,517,28
آسيا-ت,13881120,29.28,30,29,30.01,7398571,16153477097.00,292,29
آسيا-ت,13881121,30.79,31,31,31.05,12820622,28960681282.00,591,30
آسيا-ت,13881125,31.05,32,30,31.67,840023,1935076888.00,122,31
آسيا-ت,13881127,32.71,33,31,32.74,10030619,23891407459.00,351,32
آسيا-ت,13881128,31.90,34,32,33.87,17453564,43014098919.00,643,33
آسيا-ت,13881201,35.04,35,33,34.43,2360991,5914497441.00,208,34
آسيا-ت,13881202,33.68,34,33,33.39,1318058,3201890410.00,177,34
آسيا-ت,13881203,32.99,34,32,32.31,2313610,5440053631.00,209,33
آسيا-ت,13881204,31.24,33,31,31.38,2587295,5906571688.00,106,32
آسيا-ت,13881205,31.88,32,32,32.47,10613179,25065338750.00,312,31
آسيا-ت,13881208,33.59,34,34,33.59,11071192,27057993248.00,476,32
آسيا-ت,13881209,34.76,35,35,34.76,11398163,28825954227.00,376,34
آسيا-ت,13881210,35.94,36,35,35.96,11727281,30673921793.00,458,35
آسيا-ت,13881211,37.21,37,35,35.57,5660091,14648031228.00,334,36
آسيا-ت,13881212,35.74,37,35,36.78,8730214,23364538815.00,311,36
آسيا-ت,13881215,37.21,38,37,38.06,12720261,35221926234.00,417,37
آسيا-ت,13881216,39.38,39,39,39.38,16216090,46459097850.00,593,38
آسيا-ت,13881217,40.75,41,40,40.69,869596,2574085121.00,171,39
آسيا-ت,13881218,42.06,42,42,41.43,190241,582618683.00,44,41
آسيا-ت,13881219,42.87,43,41,42.36,722462,2226382800.00,124,41
آسيا-ت,13881222,40.89,41,41,40.89,447729,1331993775.00,44,42
آسيا-ت,13881223,39.46,41,39,39.52,898664,2583342394.00,105,41
آسيا-ت,13881224,38.20,39,38,38.31,1324179,3690765710.00,99,40
آسيا-ت,13881225,37.06,38,37,37.06,977147,2634296616.00,102,38
آسيا-ت,13881226,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890107,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890108,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890109,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890110,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890111,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890114,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890115,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890116,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890117,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890118,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890121,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890122,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890123,0,0,0,37.06,0,0.00,0,37
آسيا-ت,13890124,36.55,37,35,35.94,1311403,3429858869.00,118,37
آسيا-ت,13890125,34.78,35,35,35.75,56317,142167688.00,17,36
آسيا-ت,13890128,34.50,35,35,35.75,389,976390.00,1,36
آسيا-ت,13890129,34.50,37,35,34.83,811684,2056913121.00,123,36
آسيا-ت,13890130,36.04,36,36,36.04,2041336,5352382992.00,95,35
آسيا-ت,13890131,37.29,37,37,37.29,2209444,5994221572.00,83,36
آسيا-ت,13890201,38.38,39,38,38.57,20609756,57841084597.00,671,37
آسيا-ت,13890204,39.86,40,37,38.67,567113,1595055016.00,89,39
آسيا-ت,13890205,37.32,38,37,37.62,297757,809979344.00,41,39
آسيا-ت,13890206,36.36,38,36,36.93,496854,1334990889.00,47,38
آسيا-ت,13890207,37.94,38,36,37.07,88820,242312101.00,26,37
آسيا-ت,13890208,36.42,37,36,36.91,110795,294605692.00,23,37
آسيا-ت,13890211,37.80,38,37,37.29,182050,499175373.00,32,37
آسيا-ت,13890212,38.17,38,36,37.32,262257,712384877.00,56,37
آسيا-ت,13890213,36.29,39,36,38.47,3373681,9444255366.00,179,37
آسيا-ت,13890214,39.72,40,40,39.81,2808059,8130986501.00,130,38
آسيا-ت,13890215,39.86,41,40,41.14,3256669,9747125804.00,174,40
آسيا-ت,13890218,42.34,42,40,40.15,330174,961954332.00,63,41
آسيا-ت,13890219,38.79,39,39,38.87,516306,1459856276.00,61,40
آسيا-ت,13890220,38.12,39,38,38.09,434962,1205276666.00,58,39
آسيا-ت,13890221,38.49,38,37,37.84,177281,484668600.00,20,38
آسيا-ت,13890222,37.28,39,37,39.01,2515902,7140428598.00,84,38
آسيا-ت,13890225,39.83,40,40,40.37,2454105,7206544615.00,129,39
آسيا-ت,13890226,40.75,42,41,41.76,2506198,7613908775.00,118,40
آسيا-ت,13890228,43.20,43,40,40.77,623491,1849530356.00,124,42
آسيا-ت,13890229,41.22,41,39,39.53,571233,1642637309.00,36,41
آسيا-ت,13890301,38.28,40,38,38.36,359808,1003909055.00,33,40
آسيا-ت,13890302,39.70,40,40,39.70,2052711,5928229368.00,67,38
آسيا-ت,13890303,40.82,41,41,41.08,2214997,6620383676.00,91,40
آسيا-ت,13890304,42.50,43,43,42.51,1358114,4200279764.00,97,41
آسيا-ت,13890305,43.83,44,41,42.28,866554,2665322350.00,107,43
آسيا-ت,13890308,41.25,42,41,41.18,431244,1291995945.00,34,42
آسيا-ت,13890309,40.34,41,40,41.07,63338,186796530.00,8,41
آسيا-ت,13890310,40.55,43,40,41.03,102346,304572112.00,23,41
آسيا-ت,13890311,42.24,42,42,41.06,9207,28297818.00,4,41
آسيا-ت,13890312,41.24,42,41,41.32,88598,271568370.00,19,41
آسيا-ت,13890316,42.76,43,43,41.74,109035,339207857.00,21,41
