<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
بركت-ت,13950921,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950922,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950923,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950924,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950928,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950929,0,0,0,685.58,0,0.00,0,686
بركت-ت,13950930,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951001,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951004,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951005,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951006,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951007,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951008,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951011,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951012,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951013,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951014,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951015,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951018,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951019,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951020,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951022,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951025,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951026,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951027,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951028,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951029,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951102,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951103,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951104,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951105,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951106,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951109,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951110,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951111,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951112,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951113,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951116,0,0,0,685.58,0,0.00,0,686
بركت-ت,13951117,1659.10,1659,1560,1646.08,340000000,816285739441.00,29515,686
بركت-ت,13951118,1624.82,1659,1578,1631.68,106622418,253744687533.00,14248,1646
بركت-ت,13951119,1630.99,1639,1589,1614.54,26797759,63111160419.00,6625,1632
بركت-ت,13951120,1614.54,1615,1542,1564.49,31489438,71859896719.00,5853,1615
بركت-ت,13951123,1535.70,1546,1507,1514.45,23820268,52615235904.00,4469,1564
بركت-ت,13951124,1508.28,1521,1476,1506.90,13676734,30058882774.00,2713,1514
بركت-ت,13951125,1504.85,1576,1505,1553.52,9934939,22514272035.00,1724,1507
بركت-ت,13951126,1556.27,1558,1511,1535.70,4506511,10089771428.00,991,1554
بركت-ت,13951127,1549.41,1556,1508,1522.67,6435749,14294596834.00,1291,1536
بركت-ت,13951130,1532.27,1532,1484,1508.28,6513127,14330958405.00,1428,1523
بركت-ت,13951201,1491.82,1517,1475,1497.99,8131985,17771401695.00,1606,1508
بركت-ت,13951202,1480.17,1480,1433,1444.52,12112460,25523597015.00,2451,1498
بركت-ت,13951203,1434.92,1435,1392,1404.07,9155255,18752827489.00,2053,1445
بركت-ت,13951204,1404.75,1457,1405,1436.98,6999620,14668213670.00,1570,1404
بركت-ت,13951207,1448.63,1449,1397,1404.07,3339893,6840419078.00,819,1437
بركت-ت,13951208,1390.36,1403,1372,1376.64,5492510,11027198373.00,1265,1404
بركت-ت,13951209,1371.16,1371,1323,1335.51,7029749,13695019880.00,1587,1377
بركت-ت,13951210,1309.46,1378,1303,1350.59,9342122,18406826816.00,1799,1336
بركت-ت,13951211,1363.62,1386,1327,1345.11,2285697,4484494922.00,461,1351
بركت-ت,13951214,1310.83,1323,1303,1310.83,2684432,5132078647.00,670,1345
بركت-ت,13951215,1302.60,1330,1283,1310.14,9782749,18692758845.00,1023,1311
بركت-ت,13951216,1316.31,1344,1304,1332.77,5719223,11116874664.00,495,1310
بركت-ت,13951217,1332.08,1357,1317,1345.79,3478090,6827898616.00,380,1333
بركت-ت,13951218,1343.74,1353,1309,1338.94,5117977,9996352395.00,519,1346
بركت-ت,13951221,1303.29,1344,1298,1330.03,7313233,14184723110.00,673,1339
بركت-ت,13951222,1323.17,1340,1303,1325.23,4417356,8539196931.00,522,1330
بركت-ت,13951223,1306.72,1331,1305,1320.43,3605423,6942693683.00,432,1325
بركت-ت,13951224,1305.34,1329,1305,1321.80,8176315,15767817811.00,519,1320
بركت-ت,13951225,1313.57,1336,1309,1323.17,9877426,19063861847.00,624,1322
بركت-ت,13951228,1331.40,1351,1323,1325.91,6116843,11832615014.00,363,1323
بركت-ت,13960105,1332.08,1340,1323,1334.82,1686489,3283269417.00,244,1326
بركت-ت,13960106,1349.22,1351,1334,1343.74,1269941,2489819582.00,300,1335
بركت-ت,13960107,1343.74,1347,1325,1331.40,1441126,2799157416.00,257,1344
بركت-ت,13960108,1323.85,1337,1317,1320.43,1830645,3526284293.00,400,1331
بركت-ت,13960109,1317.00,1319,1309,1313.57,2172135,4161310528.00,450,1320
بركت-ت,13960114,1310.83,1316,1305,1311.51,1526959,2920376878.00,346,1314
بركت-ت,13960115,1308.09,1316,1299,1303.97,3501980,6659931122.00,608,1312
بركت-ت,13960116,1303.97,1330,1290,1312.20,3076849,5890115681.00,669,1304
بركت-ت,13960119,1310.83,1328,1294,1306.72,4067255,7751692263.00,825,1312
بركت-ت,13960120,1319.74,1320,1300,1305.34,3487486,6639424126.00,691,1307
بركت-ت,13960121,1309.46,1366,1303,1338.94,7510986,14669225861.00,1117,1305
بركت-ت,13960123,1350.59,1370,1320,1336.88,3114124,6072245406.00,643,1339
