<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
وبصادر-ت,13880318,0,0,0,58.01,0,0.00,0,58
وبصادر-ت,13880319,58.07,58,58,58.01,982499500,983488599500.00,545,58
وبصادر-ت,13880320,59.75,60,59,59.17,53760812,54893697467.00,2406,58
وبصادر-ت,13880323,58.70,59,58,59.28,120700223,123460074455.00,5411,59
وبصادر-ت,13880324,59.05,59,59,59.34,39890423,40854431828.00,1995,59
وبصادر-ت,13880325,59.40,59,59,59.40,34669556,35538526668.00,1561,59
وبصادر-ت,13880326,59.40,59,59,59.40,24396883,25008297555.00,1111,59
وبصادر-ت,13880327,59.46,60,59,59.46,3240451,3325634884.00,709,59
وبصادر-ت,13880330,59.46,60,59,59.46,2577307,2644752388.00,214,59
وبصادر-ت,13880331,59.51,60,60,59.51,5536464,5686445502.00,290,59
وبصادر-ت,13880401,59.51,60,60,59.51,24258365,24913506252.00,1018,60
وبصادر-ت,13880402,59.57,60,60,59.51,2179546,2240967913.00,140,60
وبصادر-ت,13880403,59.57,61,60,59.57,1142372,1182911354.00,104,60
وبصادر-ت,13880406,59.80,60,60,59.63,5912810,6086215506.00,320,60
وبصادر-ت,13880407,59.69,60,60,59.63,2629857,2706724544.00,142,60
وبصادر-ت,13880408,59.69,60,60,59.69,5919228,6097270102.00,280,60
وبصادر-ت,13880409,59.86,60,60,59.69,1547168,1594834991.00,99,60
وبصادر-ت,13880410,59.80,60,60,59.75,1999331,2063347633.00,126,60
وبصادر-ت,13880413,59.80,60,60,59.98,13297346,13758475630.00,174,60
وبصادر-ت,13880414,59.98,60,60,59.98,597481,619108481.00,58,60
وبصادر-ت,13880416,60.27,60,60,60.04,1974402,2052160322.00,100,60
وبصادر-ت,13880420,60.27,62,60,60.50,3311408,3485207937.00,147,60
وبصادر-ت,13880421,61.43,62,61,60.62,40694115,42561608437.00,206,60
وبصادر-ت,13880422,61.14,61,61,60.79,2089882,2209353271.00,140,61
وبصادر-ت,13880423,60.85,63,61,61.89,4849687,5213210028.00,272,61
وبصادر-ت,13880424,63.46,64,63,63.22,5372999,5894802203.00,292,62
وبصادر-ت,13880427,63.69,64,62,63.69,110684921,121668276822.00,713,63
وبصادر-ت,13880428,0,0,0,63.69,0,0.00,0,64
وبصادر-ت,13880430,0,0,0,63.69,0,0.00,0,64
وبصادر-ت,13880431,0,0,0,63.69,0,0.00,0,64
وبصادر-ت,13880503,0,0,0,63.69,0,0.00,0,64
وبصادر-ت,13880504,65.79,67,64,63.88,31095904,31100604858.00,1551,64
وبصادر-ت,13880505,63.94,64,64,63.88,7758909,7759768195.00,452,64
وبصادر-ت,13880506,63.94,64,64,63.88,27037952,27040136040.00,1203,64
وبصادر-ت,13880507,63.88,64,64,63.88,2373819,2375068128.00,135,64
وبصادر-ت,13880510,63.94,64,64,63.88,3755495,3757051071.00,212,64
وبصادر-ت,13880511,64.01,64,64,63.88,1891291,1892917926.00,105,64
وبصادر-ت,13880512,63.94,64,64,63.88,14913689,14919428443.00,560,64
وبصادر-ت,13880513,63.94,64,62,63.81,2399264,2390002259.00,102,64
وبصادر-ت,13880514,62.28,63,62,63.56,1081151,1054396231.00,73,64
وبصادر-ت,13880517,62.86,63,62,63.30,1023973,990128448.00,93,64
وبصادر-ت,13880518,61.45,64,61,63.05,1174644,1135211775.00,106,63
وبصادر-ت,13880519,61.90,62,61,62.54,1826935,1751919291.00,194,63
وبصادر-ت,13880520,61.39,62,61,62.35,996919,953349040.00,65,63
وبصادر-ت,13880521,60.75,64,60,62.54,3106409,3052009136.00,134,62
وبصادر-ت,13880524,62.54,64,62,62.60,415896,411697723.00,53,63
وبصادر-ت,13880525,62.86,63,63,62.66,922219,910915180.00,82,63
وبصادر-ت,13880526,63.24,63,63,62.66,379325,373804435.00,38,63
وبصادر-ت,13880527,62.60,63,61,62.60,463664,450444752.00,36,63
وبصادر-ت,13880528,61.52,62,62,62.60,313410,305511048.00,32,63
وبصادر-ت,13880531,61.96,62,61,62.54,491179,475420622.00,53,63
وبصادر-ت,13880601,61.96,62,61,62.35,1229583,1180367922.00,74,63
وبصادر-ت,13880602,61.58,62,61,62.22,1008367,968757241.00,62,62
وبصادر-ت,13880603,61.32,61,61,62.09,798292,765282643.00,49,62
وبصادر-ت,13880604,61.00,61,60,61.96,655029,622044197.00,74,62
وبصادر-ت,13880607,60.30,64,60,61.90,1874394,1808821514.00,125,62
وبصادر-ت,13880608,62.28,63,60,62.03,2774873,2705644824.00,48,62
وبصادر-ت,13880609,60.88,61,61,62.03,202498,193977465.00,34,62
وبصادر-ت,13880610,62.47,62,61,61.96,747885,716335618.00,55,62
وبصادر-ت,13880611,61.83,62,60,61.90,388475,368662347.00,35,62
وبصادر-ت,13880614,61.26,63,60,61.96,3130885,3037493747.00,150,62
وبصادر-ت,13880615,61.96,62,60,61.77,805084,762449932.00,75,62
وبصادر-ت,13880616,60.68,61,61,61.77,202398,192695020.00,30,62
وبصادر-ت,13880617,60.75,61,60,61.71,304398,289206120.00,26,62
وبصادر-ت,13880618,60.43,62,60,61.71,315154,302826305.00,34,62
وبصادر-ت,13880621,0,0,0,61.71,0,0.00,0,62
وبصادر-ت,13880622,61.07,62,60,61.64,493762,466921339.00,53,62
وبصادر-ت,13880623,59.98,62,60,61.58,3350709,3226597879.00,204,62
وبصادر-ت,13880624,61.96,62,61,61.58,289053,280204848.00,31,62
وبصادر-ت,13880625,61.32,62,60,61.58,258143,246577894.00,19,62
وبصادر-ت,13880628,60.68,62,60,61.52,1281407,1226065141.00,76,62
وبصادر-ت,13880629,0,0,0,61.52,0,0.00,0,62
وبصادر-ت,13880630,60.62,61,60,61.52,50506,47940817.00,21,62
وبصادر-ت,13880631,60.49,61,60,61.45,724089,687691779.00,36,62
وبصادر-ت,13880701,60.94,63,61,61.77,2342533,2287028117.00,142,61
وبصادر-ت,13880704,62.22,63,61,61.90,1153462,1125632794.00,63,62
وبصادر-ت,13880705,61.00,63,61,61.90,98810,95508657.00,14,62
وبصادر-ت,13880706,62.60,63,62,62.09,1234356,1218125461.00,55,62
وبصادر-ت,13880707,62.54,63,62,62.15,375227,368313076.00,64,62
وبصادر-ت,13880708,62.92,63,63,62.28,1132407,1114107347.00,56,62
وبصادر-ت,13880711,63.24,64,63,62.35,375916,373852625.00,46,62
وبصادر-ت,13880712,63.24,64,63,62.98,3502864,3488921336.00,249,62
وبصادر-ت,13880713,62.98,64,63,63.11,1476948,1472375576.00,152,63
وبصادر-ت,13880714,63.81,65,64,64.39,5075979,5150932596.00,357,63
وبصادر-ت,13880715,66.31,66,65,64.65,910835,942356991.00,85,64
وبصادر-ت,13880718,65.35,66,65,65.60,21793751,22384888297.00,170,65
وبصادر-ت,13880719,65.79,66,65,65.60,20744804,21307354607.00,106,66
وبصادر-ت,13880720,65.67,66,65,65.54,770073,787215621.00,68,66
وبصادر-ت,13880721,65.03,65,64,65.35,801553,802089669.00,53,66
وبصادر-ت,13880725,63.88,64,64,64.45,4067244,4067263084.00,74,65
وبصادر-ت,13880726,63.56,64,64,64.39,634972,633915143.00,40,64
وبصادر-ت,13880727,63.88,64,64,64.33,956034,955762165.00,48,64
وبصادر-ت,13880728,63.88,65,64,64.26,594395,595128012.00,58,64
وبصادر-ت,13880729,63.88,64,64,64.26,369499,369643856.00,38,64
وبصادر-ت,13880802,64.20,65,64,64.26,661517,664070169.00,58,64
وبصادر-ت,13880803,64.52,66,65,65.60,5194713,5364133957.00,371,64
وبصادر-ت,13880804,67.52,68,68,66.43,2966314,3135393898.00,176,66
وبصادر-ت,13880805,68.41,68,68,67.65,4161164,4456178590.00,373,66
وبصادر-ت,13880806,69.63,70,70,68.41,2554269,2784153210.00,197,68
وبصادر-ت,13880809,70.46,70,70,68.67,860384,949003552.00,46,68
وبصادر-ت,13880810,70.71,71,71,68.99,1021518,1130820426.00,46,69
وبصادر-ت,13880811,71.03,71,67,71.03,13312353,14799223297.00,666,69
وبصادر-ت,13880812,71.03,72,69,70.14,4086768,4453067486.00,229,71
وبصادر-ت,13880813,70.71,72,69,71.16,4751942,5327458397.00,177,70
وبصادر-ت,13880816,71.54,74,72,72.95,3691279,4251405678.00,174,71
وبصادر-ت,13880817,75.38,75,73,73.08,1335858,1536725137.00,85,73
وبصادر-ت,13880818,73.84,74,71,72.82,1843359,2089915266.00,101,73
وبصادر-ت,13880819,71.35,71,70,72.37,971495,1074731377.00,49,73
وبصادر-ت,13880820,69.88,73,70,72.12,1155383,1291137956.00,78,72
وبصادر-ت,13880823,72.05,73,71,72.12,374714,420815355.00,37,72
وبصادر-ت,13880824,71.54,72,70,71.99,624173,695453793.00,48,72
وبصادر-ت,13880825,70.39,72,70,71.86,470663,518099650.00,38,72
وبصادر-ت,13880826,70.27,70,69,71.74,222772,242242484.00,24,72
