<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
وتجارت-ت,13880215,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880216,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880219,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880220,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880221,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880222,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880223,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880226,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880227,0,0,0,25.92,0,0.00,0,26
وتجارت-ت,13880228,31.23,32,31,31.21,612322042,737313616800.00,1632,26
وتجارت-ت,13880229,32.14,32,32,32.14,145981617,181017205080.00,3938,31
وتجارت-ت,13880230,32.55,33,33,32.94,103791602,131954707643.00,5598,32
وتجارت-ت,13880302,33.43,33,33,32.89,13641791,17314104651.00,1129,33
وتجارت-ت,13880303,32.89,33,32,32.55,126463300,158824644494.00,6182,33
وتجارت-ت,13880304,32.58,33,33,32.55,29336312,36845487356.00,1377,33
وتجارت-ت,13880305,32.40,33,32,32.55,21938798,27565253218.00,1210,33
وتجارت-ت,13880306,32.66,33,33,32.76,5252030,6640717956.00,447,33
وتجارت-ت,13880309,32.89,33,33,32.84,8891604,11265636962.00,547,33
وتجارت-ت,13880310,32.73,33,33,32.68,24984387,31510197955.00,1246,33
وتجارت-ت,13880311,32.58,33,32,32.14,15759128,19544283445.00,1705,33
وتجارت-ت,13880312,31.98,32,32,32.14,16889158,20942873001.00,1450,32
وتجارت-ت,13880313,32.19,33,32,32.27,3728915,4644912535.00,307,32
وتجارت-ت,13880316,32.14,32,32,32.14,13926707,17268863877.00,2085,32
وتجارت-ت,13880317,31.98,32,32,32.14,17274139,21417889521.00,2752,32
وتجارت-ت,13880318,32.09,32,32,32.14,15259974,18921635318.00,2628,32
وتجارت-ت,13880319,32.14,32,32,32.11,21397315,26513593630.00,3405,32
وتجارت-ت,13880320,32.11,32,32,32.14,13715539,17009085917.00,2347,32
وتجارت-ت,13880323,32.11,32,31,31.98,10650085,13146819975.00,2445,32
وتجارت-ت,13880324,31.54,32,31,31.52,11675966,14197132074.00,2000,32
وتجارت-ت,13880325,31.10,31,31,31.10,23280888,27931304118.00,3847,32
وتجارت-ت,13880326,30.64,31,30,30.35,3465616,4037212099.00,516,31
وتجارت-ت,13880327,30.17,30,30,30.30,1792116,2089729052.00,231,30
وتجارت-ت,13880330,30.32,31,30,30.30,2434055,2844444431.00,369,30
وتجارت-ت,13880331,30.32,30,30,30.30,1129370,1321956988.00,175,30
وتجارت-ت,13880401,30.40,31,30,30.35,586908,694842579.00,68,30
وتجارت-ت,13880402,30.61,31,31,30.48,1167837,1386576976.00,99,30
وتجارت-ت,13880403,31.08,31,31,30.79,1549201,1871316772.00,89,30
وتجارت-ت,13880406,31.67,32,32,31.15,1663798,2034796954.00,88,31
وتجارت-ت,13880407,32.09,32,32,32.09,7436760,9206639525.00,964,31
وتجارت-ت,13880408,32.09,33,32,32.16,5535261,6869097560.00,1058,32
وتجارت-ت,13880409,32.40,33,32,32.40,3210263,4022206818.00,579,32
وتجارت-ت,13880410,32.27,33,32,32.40,1780855,2224321320.00,121,32
وتجارت-ت,13880413,32.09,32,32,32.14,8148131,10100199357.00,848,32
وتجارت-ت,13880414,31.91,32,32,32.32,6667604,8316427732.00,775,32
وتجارت-ت,13880416,32.40,32,32,32.35,1650729,2062950282.00,308,32
وتجارت-ت,13880420,32.40,33,32,32.63,6932980,8726471950.00,1183,32
وتجارت-ت,13880421,32.66,33,33,32.71,4740895,5984268689.00,649,33
وتجارت-ت,13880422,0,0,0,32.71,0,0.00,0,33
وتجارت-ت,13880423,32.92,34,33,33.31,19794781,25433088973.00,1105,33
وتجارت-ت,13880424,33.43,34,33,33.59,31224484,40469848218.00,816,33
وتجارت-ت,13880427,33.77,34,33,33.56,44745489,57967278497.00,2282,34
وتجارت-ت,13880428,33.69,34,33,33.85,10628371,13883808785.00,666,34
وتجارت-ت,13880430,0,0,0,33.85,0,0.00,0,34
وتجارت-ت,13880431,0,0,0,33.85,0,0.00,0,34
وتجارت-ت,13880503,0,0,0,33.85,0,0.00,0,34
وتجارت-ت,13880504,34.07,35,34,33.91,6405665,7000975408.00,408,34
وتجارت-ت,13880505,33.32,34,33,33.10,11885187,12681788863.00,840,34
وتجارت-ت,13880506,32.58,33,32,33.14,4941513,5277273494.00,649,33
وتجارت-ت,13880507,33.07,34,33,33.17,3321859,3553852312.00,424,33
وتجارت-ت,13880510,32.98,33,33,33.17,2492608,2665618363.00,358,33
وتجارت-ت,13880511,33.07,34,33,33.23,3431005,3675489915.00,533,33
وتجارت-ت,13880512,33.23,33,33,33.26,3618769,3879473262.00,568,33
وتجارت-ت,13880513,33.29,34,33,33.32,2500059,2687798756.00,342,33
وتجارت-ت,13880514,33.38,34,33,33.38,5154594,5546570880.00,462,33
وتجارت-ت,13880517,33.42,34,33,33.42,3277020,3529457197.00,199,33
وتجارت-ت,13880518,33.51,34,34,33.57,4466521,4833000345.00,235,33
وتجارت-ت,13880519,33.97,34,34,33.63,2014683,2188892769.00,202,34
وتجارت-ت,13880520,33.76,34,34,33.69,2655619,2887793656.00,218,34
وتجارت-ت,13880521,33.82,34,34,33.76,2557837,2788210382.00,226,34
وتجارت-ت,13880524,33.88,34,34,33.88,1124911,1239238360.00,86,34
وتجارت-ت,13880525,34.31,34,34,34.16,3229688,3564272816.00,201,34
وتجارت-ت,13880526,34.44,34,34,34.28,2255361,2498491005.00,141,34
وتجارت-ت,13880527,34.28,35,34,34.31,2462746,2725965213.00,143,34
وتجارت-ت,13880528,34.28,34,33,34.19,4069774,4482559120.00,117,34
وتجارت-ت,13880531,34.25,34,34,34.28,1860804,2062572267.00,140,34
وتجارت-ت,13880601,34.44,35,34,34.35,1739764,1931236637.00,123,34
وتجارت-ت,13880602,34.47,35,34,34.19,3141945,3457701906.00,186,34
وتجارت-ت,13880603,33.94,35,33,34.72,53412521,59744791711.00,209,34
وتجارت-ت,13880604,33.69,34,34,33.73,5226396,5679330528.00,240,35
وتجارت-ت,13880607,32.73,34,33,33.38,2062539,2197044540.00,150,34
وتجارت-ت,13880608,33.38,34,32,33.01,3732676,3964836762.00,202,33
وتجارت-ت,13880609,33.26,34,33,33.45,2232447,2431741253.00,151,33
وتجارت-ت,13880610,33.57,34,33,33.69,2533701,2765950350.00,246,33
وتجارت-ت,13880611,33.51,34,33,33.94,2220428,2445165667.00,267,34
وتجارت-ت,13880614,33.82,34,34,33.94,1464630,1600933275.00,279,34
وتجارت-ت,13880615,33.94,34,33,33.82,1253456,1353754106.00,170,34
وتجارت-ت,13880616,33.66,34,34,33.79,1034545,1124571875.00,101,34
وتجارت-ت,13880617,33.51,34,33,33.79,163230,175847840.00,25,34
وتجارت-ت,13880618,33.17,35,33,34.72,20423337,22844366550.00,111,34
وتجارت-ت,13880621,33.73,0,0,34.72,0,0.00,0,35
وتجارت-ت,13880622,33.76,34,34,34.66,205165,223085625.00,35,35
وتجارت-ت,13880623,33.63,35,34,34.66,25738532,28742989126.00,114,35
وتجارت-ت,13880624,33.63,34,34,34.04,2517419,2730274126.00,148,35
وتجارت-ت,13880625,33.26,33,33,33.97,307821,330233797.00,76,34
وتجارت-ت,13880628,33.35,34,33,33.94,177354,190390169.00,28,34
وتجارت-ت,13880629,0,0,0,33.94,0,0.00,0,34
وتجارت-ت,13880630,33.57,34,33,33.91,438931,475527948.00,46,34
وتجارت-ت,13880631,33.20,33,33,33.79,598827,639871940.00,55,34
وتجارت-ت,13880701,33.45,34,33,33.63,2245116,2424300140.00,129,34
وتجارت-ت,13880704,33.73,34,33,33.60,237498,254876320.00,42,34
وتجارت-ت,13880705,33.35,34,33,33.57,765692,824277982.00,79,34
وتجارت-ت,13880706,33.48,33,33,33.54,454291,486524095.00,45,34
وتجارت-ت,13880707,33.32,34,33,33.51,995676,1072843035.00,79,34
وتجارت-ت,13880708,33.57,34,34,33.57,1516870,1647395603.00,116,34
وتجارت-ت,13880711,33.76,35,34,33.94,1960958,2173815137.00,157,34
وتجارت-ت,13880712,34.47,35,34,34.07,1101909,1221796091.00,96,34
وتجارت-ت,13880713,34.13,35,34,34.28,1697251,1892380182.00,166,34
وتجارت-ت,13880714,34.87,35,35,34.50,1191362,1346491378.00,74,34
وتجارت-ت,13880715,35.52,36,36,34.59,345489,395584905.00,29,35
وتجارت-ت,13880718,35.62,36,36,34.69,351386,403391128.00,36,35
وتجارت-ت,13880719,35.71,36,36,34.78,323244,372053844.00,30,35
وتجارت-ت,13880720,35.80,36,35,35.52,3689301,4237061159.00,280,35
وتجارت-ت,13880721,35.40,36,35,35.49,2245298,2568177658.00,192,36
وتجارت-ت,13880725,35.68,36,35,35.49,986104,1127991557.00,88,35
وتجارت-ت,13880726,35.68,36,35,35.52,1255724,1440719142.00,110,35
وتجارت-ت,13880727,35.68,36,36,35.65,965892,1120814010.00,100,36
وتجارت-ت,13880728,35.71,36,36,35.74,1134813,1315834247.00,124,36
وتجارت-ت,13880729,35.80,36,36,35.77,365862,424736654.00,52,36
وتجارت-ت,13880802,35.90,37,36,35.93,1458671,1701372702.00,163,36
وتجارت-ت,13880803,36.98,37,37,36.08,616772,735142224.00,53,36
وتجارت-ت,13880804,37.14,37,37,36.08,22500,26932500.00,2,36
وتجارت-ت,13880805,37.14,37,37,36.08,36325,43481025.00,5,36
وتجارت-ت,13880806,37.14,37,37,36.27,704539,843333183.00,35,36
وتجارت-ت,13880809,37.36,37,37,36.27,1,1204.00,1,36
وتجارت-ت,13880810,37.36,37,37,36.33,226254,272409816.00,12,36
وتجارت-ت,13880811,37.42,37,37,36.39,183610,221433660.00,13,36
وتجارت-ت,13880812,37.48,37,37,36.49,304297,367590776.00,22,36
وتجارت-ت,13880813,37.57,38,38,36.52,60342,73074162.00,10,36
وتجارت-ت,13880816,37.79,38,38,36.52,28992,35312256.00,2,37
وتجارت-ت,13880817,37.79,38,38,36.52,8564,10430952.00,1,37
وتجارت-ت,13880818,37.79,38,38,36.52,26141,31839738.00,6,37
وتجارت-ت,13880819,37.79,38,38,36.61,237927,289795086.00,12,37
وتجارت-ت,13880820,37.88,38,38,36.64,60212,73518852.00,5,37
وتجارت-ت,13880823,37.91,38,38,37.91,52612,64291864.00,6,37
وتجارت-ت,13880824,39.22,39,39,39.22,13000,16432000.00,2,38
