<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
دابور-ت,13800105,264.50,267,265,266.57,1243,15959700.00,3,265
دابور-ت,13800107,268.63,269,269,268.63,2000,26000000.00,3,267
دابور-ت,13800108,282.07,282,282,282.07,1000,13650000.00,4,269
دابور-ت,13800119,289.30,289,289,289.30,2051,28714000.00,4,282
دابور-ت,13800120,289.30,289,289,289.30,3693,51703000.00,5,289
دابور-ت,13800121,289.30,289,289,289.30,112,1568000.00,1,289
دابور-ت,13800127,289.26,289,289,289.30,6601,92404561.00,14,289
دابور-ت,13800128,289.28,289,289,289.28,1076,15062174.00,3,289
دابور-ت,13800129,289.26,289,289,289.30,5474,76630276.00,9,289
دابور-ت,13800202,291.37,291,289,289.30,9881,139167200.00,8,289
دابور-ت,13800208,289.30,289,289,289.30,270,3780000.00,2,289
دابور-ت,13800209,289.34,289,289,289.34,1000,14002000.00,2,289
دابور-ت,13800210,289.36,289,289,289.34,11077,155108691.00,7,289
دابور-ت,13800211,289.40,291,289,291.39,7644,107567102.00,6,289
دابور-ت,13800212,291.37,291,291,291.37,500,7050000.00,1,291
دابور-ت,13800215,291.37,291,291,291.37,1200,16920000.00,4,291
دابور-ت,13800216,291.37,291,291,291.39,2628,37055531.00,13,291
دابور-ت,13800217,289.36,289,289,289.36,1500,21004500.00,2,291
دابور-ت,13800218,289.30,289,289,289.30,800,11200000.00,11,289
دابور-ت,13800222,289.32,289,289,289.32,1300,18201300.00,3,289
دابور-ت,13800223,303.76,304,304,303.76,2148,31575600.00,2,289
دابور-ت,13800230,318.95,319,319,318.95,950,14663250.00,3,304
دابور-ت,13800302,334.88,335,335,334.88,1000,16206000.00,2,319
دابور-ت,13800306,351.62,352,352,351.62,1639,27889224.00,3,335
دابور-ت,13800307,369.19,369,369,369.19,3000,53598000.00,4,352
دابور-ت,13800309,369.29,369,369,369.29,290,5182590.00,1,369
دابور-ت,13800312,369.35,369,369,369.39,1250,22344500.00,3,369
دابور-ت,13800326,363.67,364,364,363.69,4796,84408900.00,4,369
دابور-ت,13800327,349.22,364,346,363.69,26081,440583280.00,18,364
دابور-ت,13800425,216.97,217,217,216.97,1000,10500000.00,1,364
دابور-ت,13800427,227.82,228,228,227.82,1000,11025000.00,4,217
دابور-ت,13800606,239.21,239,239,239.21,1100,12733600.00,5,228
دابور-ت,13800607,251.15,251,251,251.15,3349,40703746.00,7,239
دابور-ت,13800612,263.70,264,264,263.70,1300,16589300.00,5,251
دابور-ت,13800620,270.29,270,270,270.29,500,6540000.00,3,264
دابور-ت,13800621,277.04,277,277,276.90,2775,37197297.00,8,270
دابور-ت,13800624,276.90,277,270,270.70,202893,2652308853.00,10,277
دابور-ت,13800625,271.73,273,271,272.77,1631,21466362.00,3,271
دابور-ت,13800626,270.70,271,271,270.70,500,6550000.00,1,273
دابور-ت,13800627,268.63,269,269,268.63,500,6500000.00,1,271
دابور-ت,13800628,270.66,275,269,274.83,2526,33354086.00,6,269
دابور-ت,13800631,274.83,275,275,274.83,2000,26600000.00,1,275
دابور-ت,13800702,281.69,282,282,281.69,1124,15322368.00,4,275
دابور-ت,13800707,284.50,285,285,284.50,2400,33043200.00,3,282
دابور-ت,13800708,287.34,287,287,287.34,600,8343000.00,1,285
دابور-ت,13800710,290.21,290,290,290.21,853,11979532.00,2,287
دابور-ت,13800714,293.10,293,293,293.10,603,8552952.00,2,290
دابور-ت,13800715,296.01,296,296,296.01,1500,21487500.00,2,293
دابور-ت,13800716,298.97,299,299,298.97,1915,27706220.00,3,296
دابور-ت,13800717,301.95,302,302,301.70,1800,26294280.00,6,299
دابور-ت,13800718,301.68,302,294,301.70,9896,143568531.00,7,302
دابور-ت,13800721,301.74,302,302,301.74,2500,36505000.00,2,302
دابور-ت,13800724,301.86,302,302,301.86,520,7596160.00,2,302
دابور-ت,13800725,301.99,302,302,301.99,700,10229800.00,1,302
دابور-ت,13800728,301.97,302,302,301.95,350,5114380.00,2,302
دابور-ت,13800729,301.95,302,302,301.95,859,12551708.00,2,302
دابور-ت,13800813,302.42,302,302,302.42,870,12732450.00,2,302
دابور-ت,13800815,309.96,310,310,309.96,600,9000000.00,2,302
دابور-ت,13800816,313.06,313,313,313.06,859,13013850.00,2,310
دابور-ت,13800819,316.18,316,316,316.18,1774,27143974.00,4,313
دابور-ت,13800829,319.34,319,319,319.34,657,10153278.00,4,316
دابور-ت,13800830,322.53,323,323,322.53,1200,18729600.00,3,319
دابور-ت,13800911,324.18,326,324,325.75,2228,35092932.00,4,323
دابور-ت,13801015,328.99,329,329,328.99,1893,30138453.00,5,326
دابور-ت,13801016,332.28,332,332,332.28,14687,236166960.00,18,329
