<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
تيپيكو-ت,13921024,0,0,0,237.13,0,0.00,0,237
تيپيكو-ت,13921025,0,0,0,237.13,0,0.00,0,237
تيپيكو-ت,13921028,0,0,0,237.13,0,0.00,0,237
تيپيكو-ت,13921030,1662.30,1662,1423,1432.52,287214500,1735114866900.00,12177,237
تيپيكو-ت,13921101,1489.67,1490,1490,1489.67,1467052,9216020664.00,146,1433
تيپيكو-ت,13921102,1549.19,1549,1518,1548.72,123413034,806036426889.00,20049,1490
تيپيكو-ت,13921105,1557.96,1586,1544,1564.13,42923651,283128954094.00,12688,1549
تيپيكو-ت,13921106,1550.85,1565,1503,1519.55,28650867,183599379825.00,7230,1564
تيپيكو-ت,13921107,1489.67,1541,1471,1499.16,17072351,107935328038.00,4517,1520
تيپيكو-ت,13921108,1555.59,1559,1534,1556.31,17813799,116919931004.00,3263,1499
تيپيكو-ت,13921109,1583.58,1618,1565,1601.12,19793516,133650151530.00,4046,1556
تيپيكو-ت,13921112,1640.72,1665,1613,1653.53,12199213,85070619301.00,2485,1601
تيپيكو-ت,13921113,1667.05,1667,1589,1621.52,15095815,103223781334.00,3433,1654
تيپيكو-ت,13921114,1587.61,1610,1568,1583.58,8022409,53575410419.00,1756,1622
تيپيكو-ت,13921115,1598.28,1618,1578,1602.55,6520118,44061369198.00,1719,1584
تيپيكو-ت,13921116,1576.70,1582,1539,1545.87,6654173,43377911410.00,1763,1603
تيپيكو-ت,13921119,1496.55,1522,1484,1491.09,10081684,63392290537.00,2257,1546
تيپيكو-ت,13921120,1517.65,1551,1497,1548.72,36655129,239392559308.00,1731,1491
تيپيكو-ت,13921121,1565.08,1572,1504,1543.26,36449519,237217252983.00,1584,1549
تيپيكو-ت,13921123,1498.68,1518,1482,1490.14,6237070,39194197334.00,1545,1543
تيپيكو-ت,13921126,1505.80,1550,1499,1537.81,3765679,24422023579.00,1243,1490
تيپيكو-ت,13921127,1565.08,1599,1544,1594.96,7061726,47500199335.00,1583,1538
تيپيكو-ت,13921128,1640.96,1659,1544,1643.10,11800649,81765762792.00,3286,1595
تيپيكو-ت,13921129,1596.62,1624,1577,1590.93,7520930,50454991807.00,1966,1643
تيپيكو-ت,13921130,1612.27,1653,1594,1639.78,7125436,49270701393.00,2295,1591
تيپيكو-ت,13921203,1683.65,1705,1683,1703.09,8574827,61587223956.00,1191,1640
تيپيكو-ت,13921204,1770.91,1771,1710,1758.58,15481683,114811038620.00,4021,1703
تيپيكو-ت,13921205,1728.70,1731,1696,1713.52,6001701,43365512014.00,2158,1759
تيپيكو-ت,13921206,1676.77,1688,1645,1655.90,7789585,54397929105.00,2414,1714
تيپيكو-ت,13921207,1613.69,1684,1602,1654.72,4531407,31620858642.00,2136,1656
تيپيكو-ت,13921210,1683.65,1719,1672,1702.38,4504476,32337047432.00,1450,1655
تيپيكو-ت,13921211,1702.38,1714,1648,1669.42,2723239,19170585131.00,1111,1702
تيپيكو-ت,13921212,1649.97,1650,1603,1608.24,3916482,26563455286.00,1267,1669
تيپيكو-ت,13921213,1584.05,1648,1566,1614.88,3330663,22680455434.00,1080,1608
