<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
خشرق-ت,13821204,515.21,515,508,510.53,2097500,8004597000.00,1824,515
خشرق-ت,13821205,535.95,536,511,511.33,1000,4005816.00,4,511
خشرق-ت,13821206,536.88,537,537,536.88,100000,401300000.00,88,511
خشرق-ت,13821209,563.64,564,545,545.31,10000,42129863.00,11,537
خشرق-ت,13821210,572.47,572,572,572.47,500000,2139500000.00,219,545
خشرق-ت,13821213,572.47,589,549,572.47,429202,1836768051.00,335,572
خشرق-ت,13821216,572.20,579,572,575.01,190305,817955258.00,146,572
خشرق-ت,13821217,569.66,572,546,552.00,43314,178718977.00,49,575
خشرق-ت,13821218,524.44,526,524,524.44,81506,319522271.00,59,552
خشرق-ت,13821219,527.12,550,527,539.96,109016,440021309.00,58,524
خشرق-ت,13821220,539.69,549,532,542.10,27733,112481697.00,31,540
خشرق-ت,13821223,545.71,547,526,536.21,15541,61594830.00,21,542
خشرق-ت,13821224,524.71,535,524,529.66,42112,166741558.00,40,536
خشرق-ت,13821225,533.67,534,522,525.91,69875,274714757.00,52,530
خشرق-ت,13821226,525.91,531,523,527.25,37916,149427377.00,39,526
خشرق-ت,13821227,525.91,526,523,524.44,21572,84378312.00,26,527
خشرق-ت,13830108,524.44,524,524,524.44,2532,9925440.00,2,524
خشرق-ت,13830109,522.70,523,520,523.24,10660,41511640.00,7,524
خشرق-ت,13830110,508.39,518,508,517.62,11887,45171290.00,11,523
خشرق-ت,13830111,512.00,512,508,509.86,27542,104767659.00,21,518
خشرق-ت,13830115,509.86,510,508,508.65,30741,116821528.00,21,510
خشرق-ت,13830116,509.72,528,508,512.94,29417,113238990.00,32,509
خشرق-ت,13830117,533.81,535,531,532.20,69919,278148146.00,41,513
خشرق-ت,13830118,541.83,559,542,557.08,42010,174942967.00,32,532
خشرق-ت,13830119,584.91,585,566,573.01,25966,113167962.00,28,557
خشرق-ت,13830122,601.64,602,581,586.25,42678,187032387.00,27,573
خشرق-ت,13830124,588.66,589,583,587.72,43262,190077037.00,23,586
خشرق-ت,13830125,587.19,587,562,583.57,34353,149650925.00,24,588
خشرق-ت,13830126,578.49,582,578,581.97,18697,81090596.00,12,584
خشرق-ت,13830129,576.08,576,553,575.01,18980,80422655.00,15,582
خشرق-ت,13830130,573.54,575,553,574.21,20510,87917277.00,16,575
خشرق-ت,13830202,572.87,573,570,571.67,30380,129659719.00,21,574
خشرق-ت,13830205,570.33,572,570,571.53,3940,16796380.00,4,572
خشرق-ت,13830207,544.64,560,543,560.43,17016,69223560.00,13,572
خشرق-ت,13830208,541.70,559,542,559.49,2010,8139820.00,2,560
خشرق-ت,13830212,531.53,557,532,557.22,3297,13100901.00,5,559
خشرق-ت,13830213,531.13,556,530,555.61,2435,9661530.00,6,557
خشرق-ت,13830215,527.92,552,528,551.87,5510,21744250.00,6,556
خشرق-ت,13830216,524.31,550,524,550.13,2510,9838620.00,3,552
خشرق-ت,13830219,522.70,523,523,522.70,96701,377810807.00,40,550
خشرق-ت,13830228,553.07,586,530,552.40,211308,872513206.00,143,523
خشرق-ت,13830229,579.96,580,553,560.70,17191,73633203.00,17,552
خشرق-ت,13830230,575.55,576,561,562.84,16213,68663343.00,14,561
خشرق-ت,13830302,575.41,591,575,588.39,55267,243071767.00,44,563
خشرق-ت,13830303,588.26,615,588,593.21,11340,51394000.00,8,588
خشرق-ت,13830304,585.58,623,567,597.49,97712,436466245.00,65,593
خشرق-ت,13830319,597.49,669,562,652.47,19270,93998250.00,13,597
خشرق-ت,13830320,655.55,656,642,653.01,60385,294796561.00,35,652
خشرق-ت,13830323,653.01,653,626,632.01,38573,181705500.00,31,653
خشرق-ت,13830324,608.59,635,602,616.35,32143,146983590.00,23,632
خشرق-ت,13830325,616.35,616,616,616.35,11077,51032816.00,17,616
خشرق-ت,13830326,614.61,615,589,610.47,35151,160129000.00,39,616
خشرق-ت,13830327,610.60,629,610,615.95,18158,84589126.00,18,610
خشرق-ت,13830330,615.95,635,616,619.30,30162,140659600.00,19,616
خشرق-ت,13830331,622.51,642,623,624.65,26650,125089710.00,19,619
خشرق-ت,13830401,642.31,655,642,643.11,105226,505866523.00,30,625
خشرق-ت,13830402,642.17,656,635,650.47,37704,183599261.00,24,643
خشرق-ت,13830403,655.02,669,629,656.89,31922,157254523.00,21,650
خشرق-ت,13830406,668.66,690,668,667.73,30753,154464070.00,18,657
خشرق-ت,13830407,695.55,701,696,699.70,118605,620412892.00,41,668
خشرق-ت,13830408,701.04,701,700,699.70,13315,69646420.00,8,700
خشرق-ت,13830409,692.74,697,681,697.29,5951,30394070.00,10,700
خشرق-ت,13830410,668.93,681,669,674.82,35359,177265862.00,25,697
خشرق-ت,13830414,641.10,666,641,665.72,11210,53720160.00,13,675
خشرق-ت,13830417,632.54,659,633,659.03,8408,39755004.00,6,666
خشرق-ت,13830421,626.12,657,626,656.76,2777,12998650.00,6,659
خشرق-ت,13830423,623.98,656,624,656.35,510,2381060.00,2,657
خشرق-ت,13830424,623.58,653,624,653.01,4268,19895348.00,5,656
خشرق-ت,13830427,620.37,630,620,630.13,29357,136129139.00,21,653
خشرق-ت,13830428,628.79,630,629,629.73,60760,286005070.00,27,630
خشرق-ت,13830429,628.13,633,628,628.39,39324,184738956.00,23,630
خشرق-ت,13830430,628.26,635,628,628.93,13196,62189789.00,9,628
خشرق-ت,13830503,628.53,629,629,628.79,6350,29832320.00,8,629
خشرق-ت,13830505,626.92,629,626,627.99,14020,65677228.00,18,629
خشرق-ت,13830507,627.99,642,628,629.86,8497,40517538.00,11,628
خشرق-ت,13830511,629.20,642,629,630.00,22705,106943752.00,23,630
خشرق-ت,13830512,598.56,630,599,629.33,8001,37507459.00,8,630
خشرق-ت,13830514,628.39,629,628,629.06,17535,82447092.00,23,629
خشرق-ت,13830518,625.98,629,626,628.26,53876,253052195.00,27,629
خشرق-ت,13830519,628.66,629,629,628.66,63018,296150243.00,27,628
خشرق-ت,13830520,638.03,638,630,630.27,7352,35061108.00,4,629
خشرق-ت,13830524,628.66,629,628,628.79,34872,163839750.00,12,630
خشرق-ت,13830528,597.35,628,597,627.99,909,4061863.00,3,629
خشرق-ت,13830531,596.69,610,597,609.93,24110,107546610.00,25,628
خشرق-ت,13830601,579.96,599,580,599.50,14510,62902310.00,10,610
خشرق-ت,13830602,579.56,598,580,598.42,2010,8708730.00,3,599
خشرق-ت,13830603,578.62,597,579,597.22,2310,9992960.00,5,598
خشرق-ت,13830608,573.27,597,573,596.55,1010,4329590.00,3,597
خشرق-ت,13830610,572.20,586,572,586.25,18953,81303457.00,17,597
خشرق-ت,13830611,579.96,586,580,586.12,810,3511810.00,2,586
خشرق-ت,13830614,579.96,586,580,585.85,1332,5774660.00,4,586
خشرق-ت,13830615,584.64,595,585,587.05,10971,48441730.00,58,586
خشرق-ت,13830616,588.66,615,589,597.22,20929,95054357.00,8,587
خشرق-ت,13830617,602.04,609,598,598.02,6486,29206500.00,54,597
خشرق-ت,13830618,602.04,604,599,599.09,9483,42758121.00,54,598
خشرق-ت,13830621,615.55,629,616,619.43,31831,148949863.00,59,599
خشرق-ت,13830622,650.33,650,634,634.28,20322,98784042.00,9,619
خشرق-ت,13830624,642.17,666,642,650.60,23250,115375100.00,10,634
خشرق-ت,13830625,668.93,683,669,669.33,41990,210159910.00,19,651
