<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
پكوير-ت,13931223,0,0,0,69.52,0,0.00,0,70
پكوير-ت,13931224,0,0,0,69.52,0,0.00,0,70
پكوير-ت,13931225,0,0,0,69.52,0,0.00,0,70
پكوير-ت,13931226,69.52,0,0,69.52,0,0.00,0,70
پكوير-ت,13931227,1001.07,1041,1001,1002.32,616919,8894527094.00,83,70
پكوير-ت,13940105,1021.85,1029,1022,1007.18,17501,257941389.00,15,1002
پكوير-ت,13940108,1008.16,1008,967,976.39,233214,3275380969.00,285,1007
پكوير-ت,13940109,1008.02,1015,974,981.18,317376,4479570892.00,154,976
پكوير-ت,13940110,981.60,982,959,978.54,19650,274303203.00,41,981
پكوير-ت,13940111,987.16,987,951,975.35,45333,634445220.00,60,979
پكوير-ت,13940115,1014.35,1014,1014,1014.35,80183,1169950153.00,17,975
پكوير-ت,13940116,1054.87,1055,1030,1051.75,522085,7898414221.00,114,1014
پكوير-ت,13940117,1024.70,1025,1010,1009.83,214469,3115479038.00,67,1052
پكوير-ت,13940118,988.69,1009,980,1005.93,27318,392322528.00,31,1010
پكوير-ت,13940119,982.30,995,982,1005.38,3561,50850505.00,12,1006
پكوير-ت,13940122,1021.92,1025,973,986.26,63063,890009735.00,40,1005
پكوير-ت,13940123,987.16,1001,987,987.86,52915,752545926.00,37,986
پكوير-ت,13940124,974.79,975,974,986.89,6020,84413580.00,16,988
پكوير-ت,13940125,973.89,987,974,986.54,2929,41170600.00,13,987
پكوير-ت,13940126,987.16,1001,977,986.05,22079,312764052.00,19,987
پكوير-ت,13940129,993.42,1008,991,987.16,6876,98773450.00,18,986
پكوير-ت,13940130,980.21,1001,977,986.82,40093,568909250.00,26,987
پكوير-ت,13940131,977.43,980,977,981.88,42770,601411140.00,26,987
پكوير-ت,13940201,974.58,975,974,981.60,3000,42031800.00,2,982
پكوير-ت,13940202,997.59,998,977,983.97,18080,258026850.00,17,982
پكوير-ت,13940205,1001.00,1001,987,985.56,11653,166746948.00,8,984
پكوير-ت,13940206,973.33,994,973,985.22,22114,313123627.00,21,986
پكوير-ت,13940207,980.28,980,973,981.18,30182,423129550.00,41,985
پكوير-ت,13940208,973.26,991,961,979.52,9711,135164570.00,15,981
پكوير-ت,13940209,993.42,993,960,979.45,779,10920950.00,9,980
پكوير-ت,13940213,962.14,965,959,976.53,12754,176320080.00,27,979
پكوير-ت,13940214,948.09,948,938,960.61,33272,449078646.00,29,977
پكوير-ت,13940215,952.40,965,941,960.47,6299,86902180.00,10,961
پكوير-ت,13940216,931.55,945,932,959.63,2470,33132955.00,6,960
پكوير-ت,13940219,937.18,964,937,957.41,11080,150415950.00,15,960
پكوير-ت,13940220,931.62,933,925,950.25,20400,272737500.00,29,957
پكوير-ت,13940221,945.45,953,939,949.62,8951,121623741.00,11,950
