<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
فاراك-ت,13800223,110.18,110,110,110.18,400,600000.00,1,0
فاراك-ت,13800313,110.18,110,110,110.18,400,600000.00,1,110
فاراك-ت,13800424,107.24,110,107,110.18,250,368000.00,5,110
فاراك-ت,13801024,183.63,184,184,183.63,1000,2500000.00,1,110
فاراك-ت,13810325,192.81,193,193,192.81,1400,3675000.00,1,184
فاراك-ت,13810514,277.36,311,239,310.19,1000000,3838300000.00,332,193
فاراك-ت,13810515,325.69,326,326,325.69,1000000,4434000000.00,282,310
فاراك-ت,13810516,333.77,334,334,333.77,1500000,6816000000.00,412,326
فاراك-ت,13810519,342.07,342,342,342.07,600000,2794200000.00,189,334
فاراك-ت,13810520,350.59,351,345,350.59,530865,2532429350.00,308,342
فاراك-ت,13810522,350.59,351,342,341.85,101305,472616960.00,56,351
فاراك-ت,13810523,333.33,338,333,333.33,26380,120000220.00,27,342
فاراك-ت,13810526,325.03,325,325,325.03,6422,28417350.00,8,333
فاراك-ت,13810527,316.95,317,317,316.95,6725,29018375.00,2,325
فاراك-ت,13810528,319.60,322,301,316.22,312046,1332977792.00,122,317
فاراك-ت,13810529,313.65,315,309,315.26,141382,604082631.00,49,316
فاراك-ت,13810530,313.65,321,314,317.17,715697,3083393840.00,128,315
فاراك-ت,13810605,317.17,317,317,317.17,39750,171638500.00,15,317
فاراك-ت,13810606,317.17,323,317,317.24,75940,330747778.00,36,317
فاراك-ت,13810609,323.12,323,317,323.19,62213,273195963.00,21,317
فاراك-ت,13810610,323.27,334,204,334.21,5884094,16388382800.00,3160,323
فاراك-ت,13810611,334.21,345,325,324.66,1778552,7884450778.00,88,334
فاراك-ت,13810612,326.79,336,325,326.87,199762,903234807.00,75,325
فاراك-ت,13810613,324.81,338,325,324.66,1863429,8241954040.00,150,327
فاراك-ت,13810616,326.94,327,325,324.81,312178,1382802839.00,50,325
فاراك-ت,13810617,326.87,327,320,319.52,22665,100329852.00,21,325
فاراك-ت,13810618,308.50,323,309,319.52,76478,327412230.00,31,320
فاراك-ت,13810619,319.52,320,309,319.52,316220,1375501850.00,57,320
فاراك-ت,13810620,321.73,322,320,319.67,440718,1919353358.00,70,320
فاراك-ت,13810623,326.87,330,320,323.27,623822,2745944120.00,94,320
فاراك-ت,13810624,334.21,334,328,329.95,680716,3055397112.00,91,323
فاراك-ت,13810625,334.29,346,334,345.96,125109,587642424.00,65,330
فاراك-ت,13810626,356.32,360,346,356.25,753414,3639331443.00,110,346
فاراك-ت,13810627,367.19,367,358,357.72,956480,4673189410.00,165,356
فاراك-ت,13810631,359.92,360,358,357.72,126986,619902662.00,48,358
فاراك-ت,13810701,357.72,358,357,357.72,358546,1747283258.00,90,358
فاراك-ت,13810702,348.90,349,340,339.87,28001,129685167.00,16,358
فاراك-ت,13810703,339.72,340,336,336.42,14500,66980000.00,9,340
فاراك-ت,13810706,335.98,336,329,329.07,31586,142989294.00,28,336
فاراك-ت,13810707,330.54,338,329,330.54,79303,359393002.00,57,329
فاراك-ت,13810708,339.35,340,339,340.16,65531,303238286.00,27,331
فاراك-ت,13810709,345.23,349,342,342.44,392562,1835937658.00,99,340
فاراك-ت,13810710,345.23,347,343,346.99,21321,100554487.00,19,342
فاراك-ت,13810714,343.10,343,335,337.89,32746,152141100.00,15,347
فاراك-ت,13810715,330.83,335,331,330.54,24752,111544080.00,10,338
فاراك-ت,13810716,323.19,323,314,314.01,10370,45178000.00,4,331
فاراك-ت,13810717,314.01,314,302,301.53,116092,495058613.00,52,314
فاراك-ت,13810720,302.63,312,303,308.50,66104,279018380.00,27,302
فاراك-ت,13810721,308.50,309,307,306.67,24520,102800038.00,17,309
فاراك-ت,13810722,306.67,307,291,291.39,87624,351496467.00,49,307
فاراك-ت,13810723,291.39,294,291,293.08,43350,173013150.00,23,291
فاراك-ت,13810724,293.81,295,294,295.28,42473,170521460.00,19,293
فاراك-ت,13810727,298.95,310,299,310.05,51729,211931109.00,12,295
فاراك-ت,13810728,325.54,326,326,325.54,3898,17275936.00,5,310
فاراك-ت,13810729,331.27,342,310,325.54,268717,1231871534.00,73,326
فاراك-ت,13810801,325.54,326,311,325.54,55642,245979247.00,37,326
فاراك-ت,13810804,325.54,342,326,338.03,748792,3472489276.00,107,326
فاراك-ت,13810805,340.75,349,341,348.17,291568,1368637341.00,76,338
فاراك-ت,13810806,351.84,355,352,352.58,360933,1736826911.00,182,348
فاراك-ت,13810807,352.50,353,349,352.58,330827,1587612148.00,100,353
