<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
فملي-ت,13851115,43.45,43,39,40.24,172898994,640374172370.00,2489,43
فملي-ت,13851116,41.04,41,41,41.04,10826496,40902501888.00,1709,40
فملي-ت,13851117,41.85,42,42,41.85,26850133,103453562449.00,4118,41
فملي-ت,13851118,42.69,43,43,42.69,31086849,122171316570.00,4247,42
فملي-ت,13851121,43.54,44,44,43.54,40645528,162907276224.00,4984,43
فملي-ت,13851123,44.41,44,44,43.58,215513,881016384.00,93,44
فملي-ت,13851124,44.45,44,44,44.45,5110524,20912264208.00,1123,44
فملي-ت,13851125,45.33,45,45,45.33,5103628,21297439644.00,1152,44
فملي-ت,13851128,46.23,46,45,46.00,35308907,149512486901.00,7352,45
فملي-ت,13851129,46.06,46,45,45.92,14815582,62631121478.00,2667,46
فملي-ت,13851130,45.00,46,45,45.80,564225,2337584905.00,160,46
فملي-ت,13851201,44.89,46,45,45.53,1354521,5596881362.00,335,46
فملي-ت,13851222,45.50,46,44,44.66,1930522,7936965855.00,473,46
فملي-ت,13851223,44.41,45,20,44.46,1160513315,2155002873707.00,606,45
فملي-ت,13851226,45.18,45,44,44.54,3663321,15089656174.00,506,44
فملي-ت,13851228,44.67,45,45,44.75,1436849,6002665724.00,262,45
فملي-ت,13860105,45.65,46,45,45.07,1629327,6845517612.00,415,45
فملي-ت,13860106,45.96,46,45,45.07,27899,118039849.00,14,45
فملي-ت,13860107,45.96,46,45,45.07,26534,112264534.00,21,45
فملي-ت,13860108,45.96,46,45,45.09,131210,555148710.00,52,45
فملي-ت,13860111,45.99,46,45,45.15,294199,1245637786.00,113,45
فملي-ت,13860114,46.05,46,45,45.17,117711,498976119.00,57,45
فملي-ت,13860115,46.07,46,45,45.22,260851,1106268311.00,116,45
فملي-ت,13860118,46.12,46,45,45.29,326721,1387256596.00,172,45
فملي-ت,13860119,46.19,46,45,45.37,437546,1860444842.00,212,45
فملي-ت,13860120,46.28,46,45,45.44,320534,1365474070.00,150,45
فملي-ت,13860121,46.34,46,45,45.49,285858,1219469448.00,173,45
فملي-ت,13860122,46.39,46,46,45.54,215785,921616945.00,159,45
فملي-ت,13860125,46.44,46,46,45.59,259123,1107750045.00,151,46
فملي-ت,13860126,46.49,46,46,45.62,150035,642149000.00,87,46
فملي-ت,13860127,46.54,47,46,45.65,102697,439953128.00,83,46
فملي-ت,13860128,46.56,47,46,45.67,120510,516505040.00,113,46
فملي-ت,13860129,46.58,47,46,45.74,393010,1685226110.00,289,46
فملي-ت,13860201,46.66,47,46,45.81,344480,1479540820.00,264,46
فملي-ت,13860202,46.72,47,46,45.87,341887,1470455207.00,320,46
فملي-ت,13860203,46.79,47,46,45.94,306431,1319797537.00,249,46
فملي-ت,13860204,46.85,47,46,45.98,206873,892242449.00,150,46
فملي-ت,13860205,46.89,47,47,46.89,10010000,43213170000.00,3181,46
فملي-ت,13860208,47.83,48,48,47.83,20019047,88143863941.00,4410,47
فملي-ت,13860209,48.78,49,49,48.78,20413178,91675582398.00,3788,48
فملي-ت,13860210,49.75,50,49,49.71,30863520,141254128146.00,6470,49
فملي-ت,13860211,49.71,51,49,50.12,5956891,27488246887.00,1602,50
فملي-ت,13860212,50.39,51,50,51.06,8963844,42143571253.00,1410,50
فملي-ت,13860215,52.08,52,52,52.07,20471440,98140059315.00,1590,51
فملي-ت,13860216,52.68,53,52,53.09,17198866,84060638460.00,1351,52
فملي-ت,13860217,54.14,54,54,54.14,15189031,75702130504.00,995,53
فملي-ت,13860218,55.22,55,55,54.95,3525095,17918057645.00,443,54
فملي-ت,13860219,56.05,56,56,56.04,11711229,60429566136.00,1579,55
فملي-ت,13860222,57.16,57,55,56.71,10598792,55343813731.00,1928,56
فملي-ت,13860223,57.34,58,57,57.83,7783711,41441458190.00,996,57
فملي-ت,13860224,58.77,59,58,58.81,23316685,126137123952.00,1682,58
فملي-ت,13860225,57.80,59,58,57.68,9180877,48757077414.00,895,59
فملي-ت,13860226,56.53,58,57,56.63,13605148,70929247814.00,1784,58
فملي-ت,13860229,55.50,56,55,55.50,4833707,24696276783.00,462,57
فملي-ت,13860230,54.39,55,54,54.46,8104843,40635572486.00,966,55
فملي-ت,13860231,55.40,56,54,55.00,3927632,19922887606.00,671,54
فملي-ت,13860301,56.02,56,55,55.60,2563487,13235755253.00,315,55
فملي-ت,13860302,55.60,56,54,54.54,5925264,29753090299.00,698,56
فملي-ت,13860305,54.48,54,53,53.59,4086050,20110412964.00,367,55
فملي-ت,13860306,52.59,55,53,53.56,3502315,17267182013.00,834,54
فملي-ت,13860307,54.36,55,53,53.72,1263561,6295387858.00,373,54
فملي-ت,13860308,54.21,55,54,54.15,2302219,11592663019.00,538,54
