<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
اميد-ت,13951127,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951130,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951201,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951202,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951203,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951204,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951207,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951208,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951209,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951210,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951211,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951214,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951215,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951216,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951217,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951218,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951221,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951222,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951223,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951224,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951225,0,0,0,402.43,0,0.00,0,402
اميد-ت,13951228,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960105,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960106,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960107,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960108,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960109,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960114,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960115,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960116,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960119,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960120,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960121,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960123,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960126,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960127,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960128,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960129,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960130,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960202,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960203,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960204,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960206,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960209,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960210,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960211,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960212,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960213,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960216,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960217,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960218,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960219,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960220,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960223,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960224,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960225,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960226,0,0,0,402.43,0,0.00,0,402
اميد-ت,13960227,0,0,0,402.43,0,0.00,0,402
