<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ت,13940517,0,0,0,266.28,0,0.00,0,266
جم-ت,13940518,1985.92,1989,1955,1984.59,1414721,10543677494.00,114,266
جم-ت,13940519,1986.46,1991,1931,1975.81,613872,4531556292.00,86,1985
جم-ت,13940521,1983.26,1983,1917,1972.08,189644,1388057788.00,46,1976
جم-ت,13940524,1970.48,1989,1944,1973.94,375738,2791638219.00,80,1972
جم-ت,13940525,1967.55,1976,1944,1971.28,643821,4759285874.00,103,1974
جم-ت,13940526,1977.14,1992,1946,1972.34,368919,2736966301.00,84,1971
جم-ت,13940527,1947.05,1992,1947,1971.54,258322,1909589489.00,50,1972
جم-ت,13940528,1969.41,1989,1945,1972.88,395561,2935621432.00,52,1972
جم-ت,13940531,1970.48,1970,1951,1972.88,22158,163638200.00,18,1973
جم-ت,13940601,1981.13,1981,1917,1972.34,23497,171323010.00,26,1973
جم-ت,13940602,1909.24,1938,1909,1969.68,64481,463543267.00,30,1972
جم-ت,13940603,1904.18,1917,1877,1965.42,77252,549864095.00,70,1970
جم-ت,13940604,1882.87,2050,1867,1976.87,1439575,10687613376.00,190,1965
جم-ت,13940607,2047.70,2048,1978,1977.14,35205,262833017.00,21,1977
جم-ت,13940608,1992.58,2001,1918,1980.86,423342,3162210948.00,52,1977
جم-ت,13940609,1997.11,1997,1891,1948.38,680631,4899084995.00,145,1981
جم-ت,13940610,1957.17,1970,1933,1954.24,437120,3228129550.00,46,1948
جم-ت,13940611,1971.28,1971,1917,1954.50,40700,299673500.00,19,1954
جم-ت,13940614,1969.95,1970,1915,1951.57,127736,922220056.00,38,1955
جم-ت,13940615,1918.02,1944,1915,1949.98,64800,466517063.00,34,1952
جم-ت,13940616,1909.50,1970,1901,1953.17,279697,2064929957.00,55,1950
جم-ت,13940617,1962.49,1965,1931,1953.97,221542,1629440308.00,56,1953
جم-ت,13940618,1962.49,1962,1924,1953.17,66070,481078568.00,49,1954
جم-ت,13940621,1943.85,1970,1915,1957.96,503500,3717166908.00,67,1953
جم-ت,13940622,1913.23,2056,1912,2003.50,16112861,121229939299.00,147,1958
جم-ت,13940623,1943.85,1944,1918,2002.43,22140,160805334.00,21,2003
جم-ت,13940624,1996.31,1996,1902,1993.91,128313,921000439.00,55,2002
جم-ت,13940625,1953.70,1954,1894,1980.07,199436,1422952884.00,52,1994
جم-ت,13940628,1893.26,2023,1893,1977.94,194500,1435580071.00,49,1980
جم-ت,13940629,1903.91,1904,1896,1975.81,33818,241066702.00,18,1978
جم-ت,13940630,1903.91,1904,1880,1973.14,39509,280184837.00,34,1976
جم-ت,13940631,1911.63,1914,1884,1971.28,41878,300388723.00,25,1973
جم-ت,13940701,1910.03,1910,1880,1964.36,116184,825684886.00,81,1971
جم-ت,13940704,1890.60,1928,1866,1950.77,194967,1369445859.00,55,1964
