<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
شبندر-ت,13910128,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910129,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910130,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910202,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910203,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910204,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910205,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910209,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910210,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910211,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910212,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910213,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910216,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910217,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910218,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910219,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910220,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910223,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910224,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910225,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910226,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910227,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910230,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910231,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910301,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910302,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910303,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910306,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910307,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910308,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910309,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910310,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910313,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910316,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910317,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910320,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910321,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910322,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910323,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910324,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910327,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910328,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910330,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910331,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910403,0,0,0,223.71,0,0.00,0,224
شبندر-ت,13910404,291.94,292,255,255.48,690000000,788084992681.00,3292,224
شبندر-ت,13910405,259.50,264,256,260.17,70242200,81667019797.00,4041,255
شبندر-ت,13910406,258.16,259,250,253.02,46616885,52724280106.00,2363,260
شبندر-ت,13910407,246.53,253,243,245.19,69730343,76405243282.00,2728,253
شبندر-ت,13910410,254.80,255,255,249.44,1860845,2119502455.00,63,245
شبندر-ت,13910411,259.28,259,256,259.28,39983891,46327090157.00,1570,249
شبندر-ت,13910412,265.77,270,264,268.00,27152077,32521537122.00,1259,259
شبندر-ت,13910413,278.52,279,271,277.85,83796323,104113103969.00,3664,268
شبندر-ت,13910414,286.12,289,279,285.90,40897212,52264673513.00,2699,278
شبندر-ت,13910417,288.58,297,289,295.74,35427063,46846053899.00,2026,286
شبندر-ت,13910418,304.24,307,300,306.93,53147693,72942879677.00,2712,296
شبندر-ت,13910419,310.96,318,306,312.75,42859419,59916104891.00,2526,307
شبندر-ت,13910420,305.36,312,300,303.80,25835476,35095825321.00,1876,313
شبندر-ت,13910421,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910424,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910425,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910426,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910427,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910428,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910431,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910501,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910502,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910503,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910504,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910507,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910508,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910509,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910510,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910511,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910514,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910515,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910516,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910517,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910518,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910521,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910522,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910523,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910524,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910525,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910528,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910531,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910601,0,0,0,303.80,0,0.00,0,304
شبندر-ت,13910604,337.80,351,338,348.09,10959739,17049930710.00,360,304
شبندر-ت,13910605,361.96,362,362,361.96,4881580,7898396440.00,206,348
شبندر-ت,13910606,376.28,376,367,376.06,111406235,187263675870.00,3926,362
شبندر-ت,13910612,378.52,391,378,385.67,27549716,47501207679.00,1514,376
شبندر-ت,13910613,395.97,401,394,400.22,14281795,25551769754.00,560,386
شبندر-ت,13910614,416.10,416,416,416.10,4140000,7700400000.00,91,400
شبندر-ت,13910615,432.65,433,419,429.30,73942088,141916346872.00,3687,416
شبندر-ت,13910618,434.00,446,416,431.31,38117638,73482171970.00,5367,429
شبندر-ت,13910619,421.69,425,414,414.53,39152196,72537865239.00,1721,431
شبندر-ت,13910620,420.57,431,415,423.71,90860279,172050246530.00,3298,415
شبندر-ت,13910621,418.34,429,407,412.30,29403622,54201388477.00,2465,424
شبندر-ت,13910625,414.31,429,411,426.84,37069829,70742563612.00,4210,412
شبندر-ت,13910626,434.89,435,418,426.17,18214588,34702788400.00,1270,427
شبندر-ت,13910627,427.51,443,428,438.47,31763800,62264903570.00,1379,426
