<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
شپنا-ت,13870409,487.41,487,487,487.41,189389047,1098456472600.00,5685,0
شپنا-ت,13870410,502.03,502,487,499.85,19643005,116854335022.00,2021,487
شپنا-ت,13870411,489.85,491,487,488.08,22646072,131567175195.00,805,500
شپنا-ت,13870412,493.21,503,488,498.59,3591428,21308419168.00,551,488
شپنا-ت,13870415,510.10,513,500,510.60,7310389,44425058143.00,1066,499
شپنا-ت,13870416,525.90,526,521,525.65,4607603,28823954077.00,539,511
شپنا-ت,13870417,541.36,541,510,537.66,17571371,112428300452.00,1293,526
شپنا-ت,13870418,553.71,554,529,549.76,7920559,51821832634.00,1085,538
شپنا-ت,13870419,542.12,543,533,539.76,1030343,6542188415.00,191,550
شپنا-ت,13870422,523.63,525,524,523.96,1629454,10154071372.00,233,540
شپنا-ت,13870423,521.02,540,513,535.73,2387382,15220625480.00,482,524
شپنا-ت,13870424,551.19,552,541,549.76,1794383,11739243205.00,392,536
شپنا-ت,13870425,566.23,566,566,566.23,2319151,15626439438.00,304,550
شپنا-ت,13870430,285.72,566,286,566.23,39182025,185681778380.00,3,566
شپنا-ت,13870506,487.41,566,487,566.23,687690,3988611380.00,2,566
شپنا-ت,13870625,591.19,756,566,594.47,10909243,77182667475.00,2710,566
شپنا-ت,13870626,612.29,612,596,609.93,8356577,60655536681.00,2161,594
شپنا-ت,13870627,624.47,628,618,625.65,5185186,38608669347.00,1388,610
شپنا-ت,13870630,637.75,638,607,610.44,1857382,13493179836.00,575,626
شپنا-ت,13870631,597.75,605,592,596.82,4027472,28601922347.00,1019,610
شپنا-ت,13870702,611.36,615,605,614.47,2598000,18998822401.00,748,597
شپنا-ت,13870703,620.27,622,609,616.24,2136544,15668401034.00,655,614
شپنا-ت,13870706,611.87,612,598,609.09,687840,4902911084.00,223,616
شپنا-ت,13870707,594.13,605,591,593.97,3065766,21669371621.00,801,609
شپنا-ت,13870708,600.02,602,593,595.23,863343,6126642160.00,311,594
شپنا-ت,13870709,595.31,598,588,591.87,1196114,8406995590.00,368,595
شپنا-ت,13870713,577.33,588,574,586.57,563693,3864824553.00,171,592
شپنا-ت,13870714,569.01,586,530,586.40,68547222,432059408856.00,8,587
شپنا-ت,13870715,568.84,586,530,586.15,58874381,371094989601.00,16,586
شپنا-ت,13870716,568.59,569,569,568.59,1658788,11223359608.00,207,586
شپنا-ت,13870717,551.61,569,552,568.59,3189,20934616.00,4,569
شپنا-ت,13870720,551.61,569,552,568.59,405,2660440.00,3,569
شپنا-ت,13870721,551.61,569,552,568.50,8701,57115374.00,3,569
شپنا-ت,13870722,551.53,568,552,568.42,8040,52768530.00,5,569
شپنا-ت,13870723,551.44,568,551,568.34,9534,62564118.00,7,568
شپنا-ت,13870724,551.36,568,551,568.34,1048,6877948.00,5,568
شپنا-ت,13870727,551.36,568,551,568.34,570,3741790.00,2,568
شپنا-ت,13870728,551.36,568,551,568.34,310,2035930.00,2,568
شپنا-ت,13870730,551.36,568,551,568.34,20,133240.00,2,568
شپنا-ت,13870801,551.36,551,551,551.36,10319,67702959.00,3,568
شپنا-ت,13870805,534.89,535,535,534.89,3282,20889930.00,1,551
شپنا-ت,13870806,518.92,519,519,518.92,2492,15388100.00,2,535
شپنا-ت,13870807,503.38,503,503,503.38,24747,148234530.00,3,519
شپنا-ت,13870808,488.33,488,488,488.33,27460,159570060.00,3,503
شپنا-ت,13870811,473.71,488,474,488.25,8810,49663700.00,3,488
شپنا-ت,13870813,473.63,474,474,473.63,200,1127200.00,1,488
شپنا-ت,13870815,459.43,474,459,460.60,10069398,55199860027.00,1726,474
شپنا-ت,13870818,446.82,450,447,449.85,1299257,6908149829.00,304,461
شپنا-ت,13870819,436.40,441,436,440.77,1121189,5822334997.00,157,450
شپنا-ت,13870820,427.58,441,428,440.69,11375,57877560.00,3,441
شپنا-ت,13870821,529.68,530,441,440.69,82478541,519862233333.00,2,441
شپنا-ت,13870826,427.49,441,427,440.69,777,3954169.00,2,441
شپنا-ت,13870827,427.49,441,427,440.69,303,1542931.00,2,441
شپنا-ت,13870829,427.49,441,427,440.69,100,510270.00,2,441
شپنا-ت,13870902,427.49,441,427,440.69,114,581488.00,2,441
شپنا-ت,13870905,427.49,427,427,427.49,50,254350.00,1,441
شپنا-ت,13870909,414.72,415,415,414.72,50,246750.00,1,427
شپنا-ت,13870910,402.28,402,402,402.28,460,2202020.00,2,415
شپنا-ت,13870911,390.26,390,390,390.26,77,357588.00,1,402
