<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
خساپا-ت,13800216,52.53,57,51,53.30,55879,181379751.00,77,53
خساپا-ت,13800217,53.30,53,53,53.30,99962,325663118.00,80,53
خساپا-ت,13800218,53.46,55,53,53.64,241949,797914981.00,87,53
خساپا-ت,13800219,54.77,56,54,53.64,415588,1392841852.00,185,54
خساپا-ت,13800222,54.61,56,54,56.23,23538,79685410.00,26,54
خساپا-ت,13800223,56.52,57,56,56.41,127297,441025763.00,112,56
خساپا-ت,13800225,57.06,57,56,56.41,102172,355398008.00,89,56
خساپا-ت,13800226,56.41,57,56,56.39,62860,217613221.00,48,56
خساپا-ت,13800229,56.42,56,56,56.24,26226,90483021.00,24,56
خساپا-ت,13800230,56.24,56,55,54.77,26034,89218325.00,28,56
خساپا-ت,13800231,55.26,56,55,55.26,34546,117339780.00,25,55
خساپا-ت,13800302,55.57,56,55,55.56,16305,55159260.00,28,55
خساپا-ت,13800305,55.56,57,56,56.98,16990,58733327.00,18,56
خساپا-ت,13800306,56.63,57,55,55.59,27728,94707263.00,32,57
خساپا-ت,13800307,55.56,56,55,55.38,35706,121141724.00,39,56
خساپا-ت,13800308,55.42,55,55,55.36,5596,18934395.00,12,55
خساپا-ت,13800309,55.31,56,55,55.54,33550,113594525.00,35,55
خساپا-ت,13800312,55.52,56,56,55.51,15079,51202040.00,17,56
خساپا-ت,13800313,54.92,56,54,55.51,45834,154024550.00,35,56
خساپا-ت,13800316,55.47,55,55,54.77,9593,32235913.00,14,56
خساپا-ت,13800319,54.77,55,54,54.71,4332,14439487.00,8,55
خساپا-ت,13800321,54.69,55,55,55.10,27198,91127132.00,29,55
خساپا-ت,13800322,54.77,55,55,55.10,16469,55268630.00,27,55
خساپا-ت,13800323,54.77,55,54,54.79,18069,60502419.00,13,55
خساپا-ت,13800326,54.74,55,54,54.74,8865,29636159.00,19,55
خساپا-ت,13800327,53.95,54,54,54.44,75439,247791246.00,22,55
خساپا-ت,13800328,54.44,54,54,53.92,10467,34758552.00,11,54
خساپا-ت,13800329,53.79,54,53,54.39,39421,129168395.00,31,54
خساپا-ت,13800330,53.92,54,52,53.95,38538,124607629.00,24,54
خساپا-ت,13800402,53.95,54,54,53.95,16285,53747179.00,22,54
خساپا-ت,13800403,53.95,54,54,53.95,8556,28234800.00,10,54
خساپا-ت,13800404,53.92,54,54,53.95,14654,48366538.00,24,54
خساپا-ت,13800405,53.97,55,54,53.97,9456,31240492.00,19,54
خساپا-ت,13800406,53.97,55,54,53.97,16015,52918885.00,16,54
خساپا-ت,13800409,53.97,54,54,53.97,2059,6796759.00,1,54
خساپا-ت,13800410,53.92,55,54,54.77,73895,246753785.00,34,54
خساپا-ت,13800411,54.75,55,55,54.75,9462,31687718.00,6,55
خساپا-ت,13800412,54.74,55,55,54.77,30498,102162058.00,18,55
خساپا-ت,13800413,54.71,55,54,53.95,15980,53068080.00,9,55
خساپا-ت,13800416,53.99,54,54,53.95,17431,57537390.00,14,54
خساپا-ت,13800417,53.95,55,54,54.28,7520,24965879.00,15,54
خساپا-ت,13800418,54.28,54,54,54.12,6316,20931320.00,10,54
خساپا-ت,13800419,54.12,54,54,54.20,10203,33752845.00,11,54
خساپا-ت,13800420,54.20,54,54,54.10,29481,97460165.00,29,54
خساپا-ت,13800423,53.95,54,54,54.10,9570,31687605.00,21,54
خساپا-ت,13800424,54.07,54,54,54.44,218087,718147696.00,36,54
خساپا-ت,13800612,51.66,52,52,51.50,30703,96919480.00,23,54
خساپا-ت,13800613,51.16,51,49,49.67,176977,540773941.00,63,52
خساپا-ت,13800614,49.05,50,47,49.67,263539,786013051.00,71,50
خساپا-ت,13800617,49.65,50,49,49.05,45891,137620924.00,28,50
