<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
امين-ت,13990511,0,0,0,616.48,0,0.00,0,616
امين-ت,13990512,0,0,0,616.48,0,0.00,0,616
امين-ت,13990513,0,0,0,616.48,0,0.00,0,616
امين-ت,13990514,0,0,0,616.48,0,0.00,0,616
امين-ت,13990515,6411.40,6411,6411,6411.40,840000000,8736000000000.00,5410754,616
امين-ت,13990519,6731.97,6732,6732,6731.97,13886486,151640427120.00,2506,6411
امين-ت,13990520,0,0,0,6731.97,0,0.00,0,6732
امين-ت,13990521,0,0,0,6731.97,0,0.00,0,6732
امين-ت,13990522,7064.87,7065,7065,6892.25,2290936,26254126560.00,3136,6732
امين-ت,13990525,7231.32,7231,7231,6935.41,536969,6298646370.00,3687,6892
امين-ت,13990526,7280.63,7281,7281,6972.39,466683,5511526230.00,3201,6935
امين-ت,13990527,7317.62,7318,7318,7101.85,1639496,19460817520.00,11363,6972
امين-ت,13990528,7453.25,7453,7453,7237.48,1703345,20593441050.00,11082,7102
امين-ت,13990529,7595.04,7595,7595,7348.45,1422220,17521750400.00,9896,7237
امين-ت,13990601,7712.17,7712,7712,7558.05,2443010,30562055100.00,13618,7348
امين-ت,13990602,7934.10,7934,7934,7934.10,12497990,160849131300.00,19460,7558
امين-ت,13990603,8328.65,8329,8329,8230.01,3115816,42094674160.00,19947,7934
امين-ت,13990604,8636.89,8637,8637,8451.95,2311388,32382545880.00,15251,8230
امين-ت,13990605,8871.15,8871,8871,8606.07,1570071,22593321690.00,11076,8452
امين-ت,13990610,9031.44,9031,9031,9031.44,4420624,64762141600.00,22249,8606
امين-ت,13990611,9481.47,9481,9481,9481.47,5329032,81960512160.00,26132,9031
امين-ت,13990612,9949.99,9950,9950,9949.99,6540904,105570190560.00,27443,9481
امين-ت,13990615,10443.18,10443,10443,10443.18,4182173,70846010620.00,10909,9950
امين-ت,13990616,0,0,0,10443.18,0,0.00,0,10443
امين-ت,13990617,9925.34,10961,9925,9925.34,19043602,306634167980.00,13810,10443
امين-ت,13990618,9432.15,9432,9432,9518.46,2548427,38990933100.00,2558,9925
امين-ت,13990619,9043.77,9987,9044,9407.49,230371004,3515658333170.00,336598,9518
امين-ت,13990622,9876.02,9876,9432,9845.19,96847244,1546753044990.00,101484,9407
امين-ت,13990623,9802.04,9802,9358,9450.65,12375671,189729598130.00,13841,9845
امين-ت,13990624,8982.12,9858,8982,9370.50,79206244,1203854842020.00,118977,9451
امين-ت,13990625,9604.77,9839,9340,9777.38,20021512,317609679620.00,47527,9371
امين-ت,13990626,10202.75,10234,9290,9654.08,67767859,1061286118430.00,120094,9777
امين-ت,13990629,9173.23,9432,9173,9216.38,42309184,632519421070.00,121624,9654
امين-ت,13990630,8760.19,8760,8760,8864.99,2471006,35112995260.00,4596,9216
امين-ت,13990631,8427.29,8427,8427,8698.54,1220107,16678862690.00,996,8865
امين-ت,13990701,8267.00,8267,8267,8347.15,2591099,34746637590.00,1425,8699
امين-ت,13990702,8322.49,8760,8027,8606.07,71164902,993605853020.00,119561,8347
امين-ت,13990705,8630.73,9031,8292,8735.53,32612737,462212587520.00,74669,8606
امين-ت,13990706,8630.73,8631,8304,8365.64,6092609,82700892330.00,7223,8736
امين-ت,13990707,7952.60,7953,7953,8254.67,975201,12580092900.00,622,8366
امين-ت,13990708,7847.80,8507,7848,7915.61,38559365,494910047480.00,73763,8255
امين-ت,13990709,7860.13,8150,7521,7792.31,26990342,341225020890.00,57912,7916
امين-ت,13990712,8180.70,8181,8082,8180.70,21829597,289592024930.00,34564,7792
امين-ت,13990713,8180.70,8329,7774,7847.80,38400229,488930345890.00,49594,8181
امين-ت,13990714,7576.54,8236,7521,8001.92,34188329,443708556920.00,65003,7848
امين-ت,13990715,8260.84,8396,8014,8371.80,16829536,228530093210.00,27563,8002
امين-ت,13990716,8630.73,8785,8144,8569.08,33426768,464625320080.00,49253,8372
امين-ت,13990719,8199.19,8507,8144,8248.51,37238044,498410381100.00,56308,8569
امين-ت,13990720,0,0,0,8248.51,0,0.00,0,8249
امين-ت,13990721,8156.04,8156,7749,7878.62,14841300,189710600140.00,20091,8249
امين-ت,13990722,8001.92,8267,7829,8168.37,39254026,520073331110.00,67741,7879
امين-ت,13990723,8186.86,8421,7768,7934.10,23748551,305602025510.00,43379,8168
امين-ت,13990727,7706.01,8014,7540,7576.54,20396490,250737900430.00,28822,7934
امين-ت,13990728,7274.47,7515,7200,7225.15,8890235,104190364230.00,10979,7577
امين-ت,13990729,6867.59,7583,6868,7385.44,48977573,586724949120.00,47563,7225
امين-ت,13990730,7632.03,7688,7182,7453.25,26263223,317474730690.00,31388,7385
امين-ت,13990803,7108.02,7355,7083,7108.02,4791227,55245873450.00,4142,7453
امين-ت,13990805,6756.63,7016,6757,6793.61,30111707,331717968330.00,42447,7108
امين-ت,13990806,6849.10,7071,6455,6707.31,37123007,403993452620.00,42242,6794
امين-ت,13990807,6781.29,7040,6726,6990.89,22399955,253978282600.00,28729,6707
امين-ت,13990810,7336.12,7336,7133,7329.95,30593784,363716185640.00,25733,6991
امين-ت,13990811,7354.61,7404,6966,7027.88,19984916,227772237460.00,14328,7330
امين-ت,13990812,6799.78,7207,6750,7009.38,16612031,188799779050.00,20355,7028
امين-ت,13990814,7040.21,7244,6750,7058.70,17680687,202440304580.00,21151,7009
امين-ت,13990817,6799.78,6966,6707,6731.97,16654966,181935658920.00,12369,7059
امين-ت,13990818,6503.87,6997,6399,6522.36,37418421,395899844070.00,26294,6732
امين-ت,13990819,6744.30,6843,6547,6805.94,40615975,448373546660.00,29052,6522
امين-ت,13990820,7021.71,7120,6806,6978.56,22990626,260298450490.00,17205,6806
امين-ت,13990821,7003.22,7176,6639,6978.56,34953238,395692321960.00,24630,6979
امين-ت,13990824,7120.35,7324,7028,7274.47,18906030,223171283520.00,18557,6979
امين-ت,13990825,7521.06,7614,6911,7145.01,41024698,475315921750.00,23746,7274
امين-ت,13990826,6910.75,7207,6843,7058.70,26305946,301117245330.00,23623,7145
امين-ت,13990827,7027.88,7244,6837,7040.21,46328985,529300198400.00,30872,7059
امين-ت,13990828,7083.36,7305,6942,7126.51,47504334,549165575290.00,34575,7040
امين-ت,13990901,7206.66,7207,6775,6898.42,43578305,487443512470.00,28342,7127
امين-ت,13990902,6738.13,7120,6652,6972.39,41791006,472568893310.00,26199,6898
امين-ت,13990903,7058.70,7120,6972,7015.55,21169750,240874279290.00,25971,6972
امين-ت,13990904,7034.04,7120,6824,7027.88,41882060,477490614870.00,29810,7016
امين-ت,13990905,7034.04,7379,7028,7194.33,30628807,357332086990.00,33886,7028
امين-ت,13990908,7551.89,7552,7552,7551.89,15835069,193979595250.00,22978,7194
امين-ت,13990909,7927.94,7928,7614,7847.80,69146731,879975006750.00,37491,7552
امين-ت,13990910,7952.60,8076,7614,7853.96,41116539,523892401730.00,22851,7848
امين-ت,13990911,7853.96,7953,7521,7773.82,41748430,526525093350.00,34085,7854
امين-ت,13990912,7521.06,7854,7459,7687.51,41455184,516779101190.00,35806,7774
امين-ت,13990915,7761.49,7916,7706,7798.48,18495257,233931776130.00,26119,7688
امين-ت,13990916,7730.66,7922,7595,7792.31,40359025,510093254670.00,36127,7798
امين-ت,13990917,7779.98,7780,7404,7533.39,23844749,291341066200.00,41654,7792
امين-ت,13990918,7249.81,7552,7157,7274.47,27013154,318636215570.00,55882,7533
امين-ت,13990919,7366.94,7638,7274,7588.87,25092069,308967081990.00,50394,7274
امين-ت,13990922,7853.96,7891,7429,7656.69,35607028,442347206090.00,29174,7589
امين-ت,13990923,7502.57,7614,7311,7391.60,19555737,234494258720.00,20737,7657
امين-ت,13990925,7087.84,7328,7025,7068.85,31203086,348610110760.00,28400,7392
امين-ت,13990926,7030.88,7398,7031,7252.38,24307314,278491000190.00,21741,7069
امين-ت,13990929,7499.18,7524,7240,7321.99,16384488,189521616880.00,18712,7252
امين-ت,13990930,7397.93,7398,7037,7119.48,14997800,168765218920.00,16240,7322
امين-ت,13991001,7151.12,7474,7126,7372.62,37637419,438518366590.00,22366,7119
امين-ت,13991002,7321.99,7341,7138,7195.42,23169451,263364615360.00,22507,7373
امين-ت,13991003,7201.75,7322,7031,7094.16,18862863,211494604300.00,22003,7195
امين-ت,13991006,7132.14,7309,6936,7094.16,21445095,240367132760.00,25770,7094
امين-ت,13991007,7024.55,7082,6803,6916.97,20779368,227125531440.00,24204,7094
امين-ت,13991008,6923.30,7082,6809,6910.64,17193810,187695977990.00,24494,6917
امين-ت,13991009,6973.92,6974,6714,6790.40,18078398,193932473390.00,18685,6911
امين-ت,13991010,6891.66,6892,6588,6682.82,19431663,205258512020.00,25707,6790
امين-ت,13991013,6701.80,6702,6354,6549.92,25365801,262453679030.00,20391,6683
امين-ت,13991014,6606.88,6803,6588,6638.52,12308456,129101278950.00,21217,6550
امين-ت,13991015,6758.76,6968,6613,6897.98,21435791,233716535710.00,25521,6639
امين-ت,13991016,7024.55,7088,6784,6916.97,19507153,213197782130.00,22286,6898
امين-ت,13991017,6916.97,6942,6651,6834.70,21586417,233203168930.00,21703,6917
امين-ت,13991020,6587.89,6835,6493,6562.58,17729870,183892152920.00,19113,6835
امين-ت,13991021,6594.22,6771,6563,6594.22,11901394,123970764990.00,15336,6563
امين-ت,13991022,6594.22,6689,6297,6461.32,21545661,219964169680.00,15419,6594
