<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
ارفع-ت,13921217,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921218,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921219,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921220,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921221,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921224,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921225,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921226,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921227,0,0,0,114.03,0,0.00,0,114
ارفع-ت,13921228,342.09,342,342,342.09,99724550,299173650000.00,33851,114
ارفع-ت,13930105,359.19,359,359,359.19,58672,184816800.00,40,342
ارفع-ت,13930106,377.10,377,377,377.10,66615,220295805.00,54,359
ارفع-ت,13930109,395.91,396,396,395.91,132208,459026176.00,110,377
ارفع-ت,13930110,415.64,416,416,415.64,120515,439277175.00,121,396
ارفع-ت,13930111,436.39,436,436,436.39,327800,1254490600.00,155,416
ارفع-ت,13930116,458.17,458,458,458.17,365194,1467349492.00,284,436
ارفع-ت,13930117,480.98,481,481,480.98,1955024,8246291232.00,1130,458
ارفع-ت,13930118,504.92,505,505,504.92,3868635,17130315780.00,2701,481
ارفع-ت,13930119,530.12,530,530,530.12,1058920,4922919080.00,672,505
ارفع-ت,13930120,556.58,557,557,556.58,3029899,14788937019.00,1366,530
ارفع-ت,13930123,558.74,575,529,543.92,61460435,293187574911.00,28922,557
ارفع-ت,13930124,529.21,530,517,518.72,24400392,111000850829.00,9342,544
ارفع-ت,13930125,516.78,538,493,509.83,7143093,31936516146.00,3718,519
ارفع-ت,13930126,511.42,535,496,525.33,8593844,39590666867.00,3308,510
ارفع-ت,13930127,534.80,545,513,530.24,4247105,19750476612.00,1949,525
ارفع-ت,13930130,514.27,514,504,506.52,595465,2645215574.00,299,530
ارفع-ت,13930131,508.57,528,497,512.11,4063545,18247991024.00,1504,507
ارفع-ت,13930201,507.55,528,499,515.87,5178675,23428863962.00,2222,512
ارفع-ت,13930202,527.96,529,497,512.22,3435637,15431276948.00,1561,516
ارفع-ت,13930203,501.84,518,502,508.80,2921588,13035533544.00,1392,512
ارفع-ت,13930206,517.01,534,506,528.64,4896875,22701933567.00,1602,509
ارفع-ت,13930207,535.94,536,510,517.47,3888397,17646244040.00,1354,529
ارفع-ت,13930208,504.58,517,503,512.11,2689182,12077071376.00,990,517
ارفع-ت,13930209,504.58,513,487,497.51,2192336,9565025438.00,854,512
ارفع-ت,13930210,490.33,507,476,483.83,2068842,8778992199.00,889,498
ارفع-ت,13930213,479.27,484,465,470.94,1626567,6717901796.00,798,484
