<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
اتكاي-ت,13931023,0,0,0,262.98,0,0.00,0,263
اتكاي-ت,13931024,497.29,526,493,499.66,967485,1838379512.00,179,263
اتكاي-ت,13931027,507.55,508,481,492.56,464552,869997627.00,67,500
اتكاي-ت,13931028,515.17,515,493,493.61,154990,290916891.00,50,493
اتكاي-ت,13931029,493.61,494,490,492.29,281635,527141450.00,47,494
اتكاي-ت,13931030,492.29,500,492,492.56,293800,550290196.00,40,492
اتكاي-ت,13931101,499.66,500,471,491.77,197842,369886179.00,35,493
اتكاي-ت,13931104,491.77,492,489,491.50,218540,408372400.00,33,492
اتكاي-ت,13931105,497.03,497,492,495.71,11700,22054200.00,4,492
اتكاي-ت,13931106,491.77,500,492,492.03,130471,244104270.00,20,496
اتكاي-ت,13931107,492.03,500,487,492.03,185600,347190000.00,15,492
اتكاي-ت,13931108,497.82,500,492,496.24,169704,320225784.00,17,492
اتكاي-ت,13931111,499.39,510,498,500.45,258500,491959938.00,23,496
اتكاي-ت,13931112,500.45,510,500,508.07,18186,35133858.00,6,500
اتكاي-ت,13931113,500.18,508,500,499.92,75125,142822238.00,21,508
اتكاي-ت,13931114,499.66,500,500,499.66,588748,1118632201.00,38,500
اتكاي-ت,13931115,499.92,500,500,499.92,220000,418141770.00,17,500
اتكاي-ت,13931118,512.54,513,501,503.34,39000,74637500.00,11,500
اتكاي-ت,13931119,505.18,513,505,509.65,444993,862292680.00,27,503
اتكاي-ت,13931120,499.92,500,492,496.76,310550,586492550.00,23,510
اتكاي-ت,13931121,494.40,508,494,505.70,30511,58660680.00,3,497
اتكاي-ت,13931125,510.96,511,507,509.12,4261,8247873.00,4,506
اتكاي-ت,13931126,494.66,509,495,500.71,99500,189485926.00,13,509
اتكاي-ت,13931127,508.86,510,498,506.23,251182,483547415.00,29,501
اتكاي-ت,13931128,504.92,509,505,507.02,137903,265928111.00,12,506
