<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
خيمن-ت,13961222,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13961223,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13961226,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13961227,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13961228,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970105,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970106,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970107,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970108,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970114,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970115,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970118,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970119,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970120,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970121,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970122,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970126,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970127,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970128,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970129,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970201,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970202,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970203,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970204,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970205,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970208,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970209,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970210,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970211,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970215,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970216,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970217,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970218,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970219,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970222,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970223,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970224,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970225,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970226,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970229,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970230,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970231,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970301,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970302,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970305,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970306,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970307,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970308,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970309,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970312,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970313,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970319,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970320,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970321,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970322,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970323,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970327,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970328,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970329,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970330,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970402,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970403,0.00,0,0,1000.00,0,0.00,0,1000
خيمن-ت,13970404,0.00,0,0,1000.00,0,0.00,0,1000
