<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
حسينا-ت,13920430,0,0,0,184.37,0,0.00,0,0
حسينا-ت,13920431,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920501,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920502,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920505,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920506,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920507,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920509,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920512,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920513,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920514,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920515,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920516,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920520,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920521,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920522,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920523,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920526,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920527,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920528,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920529,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920530,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920602,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920603,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920604,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920605,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920606,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920609,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920610,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920612,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920613,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920616,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920617,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920618,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920619,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920620,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920623,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920624,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920625,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920626,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920627,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920630,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920631,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920701,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920702,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920703,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920706,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920707,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920708,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920709,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920710,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920713,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920714,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920715,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920716,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920717,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920720,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920721,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920722,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920723,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920727,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920728,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920729,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920730,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920801,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920804,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920805,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920806,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920807,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920808,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920811,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920812,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920813,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920814,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920815,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920818,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920819,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920820,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920821,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920825,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920826,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920827,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920828,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920829,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920902,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920903,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920904,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920905,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920906,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920909,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920910,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920911,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920912,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920913,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920916,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920917,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920918,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920919,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920920,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920923,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920924,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920925,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920926,0,0,0,184.37,0,0.00,0,184
حسينا-ت,13920927,2765.58,2766,2766,2765.58,9237290,138559350000.00,9703,184
حسينا-ت,13920930,2903.86,2904,2904,2903.86,210465,3314823750.00,120,2766
حسينا-ت,13921001,3048.96,3049,3049,3048.96,19641,324803217.00,67,2904
حسينا-ت,13921003,3201.25,3201,3201,3201.25,225287,3911658181.00,126,3049
حسينا-ت,13921004,3361.29,3361,3361,3361.29,244293,4453705683.00,206,3201
حسينا-ت,13921007,3529.25,3529,3529,3529.25,244724,4684506808.00,179,3361
حسينا-ت,13921008,3705.69,3706,3706,3705.69,247742,4979366458.00,182,3529
حسينا-ت,13921009,3890.80,3891,3891,3890.80,251183,5300714849.00,221,3706
حسينا-ت,13921011,4085.32,4085,4085,4085.32,270349,5990393142.00,256,3891
حسينا-ت,13921014,4289.42,4289,4289,4289.42,247860,5766462900.00,219,4085
حسينا-ت,13921015,4503.84,4504,4504,4503.84,412190,10068977320.00,315,4289
