<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
ثزاگرس-ت,13930706,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930707,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930708,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930709,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930712,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930714,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930715,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930716,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930719,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930720,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930722,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930723,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930726,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930727,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930728,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930729,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930730,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930803,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930804,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930805,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930806,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930807,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930810,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930811,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930814,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930817,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930818,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930819,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930820,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930821,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930824,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930825,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930826,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930827,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930828,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930901,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930902,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930903,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930904,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930905,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930908,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930909,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930910,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930911,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930912,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930915,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930916,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930917,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930918,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930919,0,0,0,528.09,0,0.00,0,528
ثزاگرس-ت,13930923,0,0,0,528.09,0,0.00,0,528
