<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
بدكو-ت,13921225,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13921226,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13921227,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13921228,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930105,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930106,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930109,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930110,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930111,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930116,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930117,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930118,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930119,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930120,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930123,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930124,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930125,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930126,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930127,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930130,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930131,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930201,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930202,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930203,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930206,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930207,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930208,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930209,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930210,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930213,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930214,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930215,0,0,0,554.89,0,0.00,0,555
بدكو-ت,13930216,352.91,353,353,352.91,100000,63600000.00,1,555
بدكو-ت,13930217,352.91,353,353,352.91,400000,254400000.00,2,353
بدكو-ت,13930220,0,0,0,352.91,0,0.00,0,353
