<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
خاور-ت,13970513,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970514,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970515,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970516,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970517,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970520,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970521,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970522,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970523,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970524,0,0,0,514.11,0,0.00,0,514
خاور-ت,13970527,503.93,504,504,503.93,4836358,2393997210.00,181,514
خاور-ت,13970528,0,0,0,503.93,0,0.00,0,504
خاور-ت,13970529,458.12,461,458,458.12,39462466,17766485730.00,2195,504
خاور-ت,13970530,0,0,0,458.12,0,0.00,0,458
خاور-ت,13970603,489.68,549,490,523.28,13026046,6693746824.00,564,458
خاور-ت,13970604,0,0,0,523.28,0,0.00,0,523
خاور-ت,13970605,580.29,580,544,573.16,36977388,20830767480.00,1771,523
خاور-ت,13970606,0,0,0,573.16,0,0.00,0,573
خاور-ت,13970607,565.02,565,549,560.95,12638055,6958594285.00,579,573
خاور-ت,13970610,523.28,529,523,524.30,34547665,17785272178.00,1847,561
خاور-ت,13970611,0,0,0,524.30,0,0.00,0,524
خاور-ت,13970612,542.62,543,541,542.62,34732204,18507251214.00,1731,524
خاور-ت,13970613,0,0,0,542.62,0,0.00,0,543
خاور-ت,13970614,558.91,578,559,561.96,44927176,24808655767.00,2230,543
خاور-ت,13970617,585.38,631,585,605.74,37119495,22078982310.00,1475,562
خاور-ت,13970618,0,0,0,605.74,0,0.00,0,606
خاور-ت,13970619,669.88,684,670,673.95,55466229,36702083936.00,2583,606
خاور-ت,13970620,0,0,0,673.95,0,0.00,0,674
خاور-ت,13970621,763.54,886,764,816.48,31463357,25230509550.00,1293,674
خاور-ت,13970624,1058.77,1059,947,1026.19,71645078,72228404000.00,3502,816
خاور-ت,13970625,0,0,0,1026.19,0,0.00,0,1026
خاور-ت,13970626,936.61,956,937,939.66,111806308,103230426217.00,5170,1026
خاور-ت,13970627,0,0,0,939.66,0,0.00,0,940
خاور-ت,13970631,1058.77,1059,1059,1058.77,99496856,103476730240.00,4725,940
خاور-ت,13970701,0,0,0,1058.77,0,0.00,0,1059
خاور-ت,13970702,987.51,997,988,988.53,95206348,92421025153.00,5154,1059
خاور-ت,13970703,0,0,0,988.53,0,0.00,0,989
خاور-ت,13970704,997.69,998,916,974.27,36627032,35056635440.00,1915,989
خاور-ت,13970707,967.15,1018,967,987.51,61339305,59503921850.00,2739,974
خاور-ت,13970708,0,0,0,987.51,0,0.00,0,988
خاور-ت,13970709,1170.76,1171,1067,1138.18,78398591,87620843030.00,3431,988
خاور-ت,13970710,0,0,0,1138.18,0,0.00,0,1138
خاور-ت,13970711,936.61,967,937,941.70,78711461,72785250010.00,3845,1138
خاور-ت,13970714,1048.59,1049,937,1025.18,59555169,59964362160.00,2711,942
خاور-ت,13970715,0,0,0,1025.18,0,0.00,0,1025
خاور-ت,13970716,824.62,845,825,825.64,75755235,61458359310.00,4076,1025
خاور-ت,13970717,0,0,0,825.64,0,0.00,0,826
خاور-ت,13970718,881.63,882,826,843.96,27565547,22859655022.00,945,826
خاور-ت,13970721,844.98,845,733,778.81,14575954,11156958270.00,677,844
خاور-ت,13970722,0,0,0,778.81,0,0.00,0,779
خاور-ت,13970723,814.44,876,814,846.00,26770770,22250770440.00,1077,779
خاور-ت,13970724,0,0,0,846.00,0,0.00,0,846
خاور-ت,13970725,788.99,845,789,814.44,28432276,22759195875.00,1164,846
خاور-ت,13970728,913.19,913,904,912.17,68504551,61394601723.00,3408,814
خاور-ت,13970729,0,0,0,912.17,0,0.00,0,912
خاور-ت,13970730,860.25,860,825,841.93,13782751,11398181565.00,557,912
خاور-ت,13970801,0,0,0,841.93,0,0.00,0,842
خاور-ت,13970802,753.36,753,735,748.27,26496178,19487310890.00,1319,842
خاور-ت,13970805,749.28,753,749,750.30,22966276,16914739804.00,1223,748
خاور-ت,13970806,0,0,0,750.30,0,0.00,0,750
خاور-ت,13970807,824.62,835,825,825.64,49853878,40448782920.00,2474,750
خاور-ت,13970809,824.62,835,825,826.66,23030597,18710239630.00,1125,826
خاور-ت,13970812,824.62,825,794,821.57,23561396,19018424910.00,1218,827
خاور-ت,13970813,0,0,0,821.57,0,0.00,0,822
خاور-ت,13970814,797.13,835,797,817.49,16359920,13142947304.00,779,822
خاور-ت,13970815,0,0,0,817.49,0,0.00,0,817
خاور-ت,13970819,835.82,836,814,832.76,32818947,26861290197.00,1811,817
خاور-ت,13970820,0,0,0,832.76,0,0.00,0,833
خاور-ت,13970821,828.69,840,829,832.76,32982678,26982386079.00,1624,833
خاور-ت,13970822,0,0,0,832.76,0,0.00,0,833
خاور-ت,13970823,824.62,825,825,824.62,22094293,17896377330.00,1251,833
خاور-ت,13970826,795.10,795,784,794.08,22136272,17268164595.00,1304,825
خاور-ت,13970827,0,0,0,794.08,0,0.00,0,794
خاور-ت,13970828,783.90,784,784,783.90,25997454,20018039580.00,1357,794
خاور-ت,13970829,0,0,0,783.90,0,0.00,0,784
خاور-ت,13970830,783.90,804,784,786.95,13325428,10299419520.00,763,784
خاور-ت,13970903,834.80,835,825,830.73,15199085,12406177500.00,701,787
خاور-ت,13970905,823.60,824,794,807.31,4330222,3435093964.00,198,831
خاور-ت,13970906,0,0,0,807.31,0,0.00,0,807
خاور-ت,13970907,787.97,788,780,784.92,7100270,5473460332.00,418,807
خاور-ت,13970910,773.72,774,748,757.43,5533256,4119386535.00,340,785
خاور-ت,13970911,0,0,0,757.43,0,0.00,0,757
خاور-ت,13970912,772.70,773,739,760.48,14925149,11155868625.00,781,757
خاور-ت,13970913,0,0,0,760.48,0,0.00,0,760
خاور-ت,13970914,763.54,794,764,781.86,14947457,11486737140.00,737,760
خاور-ت,13970917,829.71,835,830,830.73,30312995,24744111865.00,1820,782
خاور-ت,13970918,0,0,0,830.73,0,0.00,0,831
خاور-ت,13970919,804.26,804,793,803.24,30630097,24180340629.00,1666,831
خاور-ت,13970920,0,0,0,803.24,0,0.00,0,803
خاور-ت,13970921,804.26,804,792,803.24,9912972,7817963904.00,591,803
خاور-ت,13970924,792.04,792,774,779.83,5839046,4474018670.00,307,803
خاور-ت,13970925,0,0,0,779.83,0,0.00,0,780
خاور-ت,13970926,794.08,794,758,786.95,20738060,16029402585.00,979,780
خاور-ت,13970927,0,0,0,786.95,0,0.00,0,787
خاور-ت,13970928,762.52,763,763,762.52,18309110,13713523390.00,1116,787
خاور-ت,13971001,753.36,753,753,753.36,16179469,11972807060.00,952,763
خاور-ت,13971002,0,0,0,753.36,0,0.00,0,753
خاور-ت,13971003,773.72,774,749,758.45,8461991,6303031568.00,318,753
خاور-ت,13971004,0,0,0,758.45,0,0.00,0,758
خاور-ت,13971005,752.34,774,752,760.48,15150988,11314699315.00,819,758
خاور-ت,13971008,781.86,782,751,767.61,7357229,5547433032.00,370,760
خاور-ت,13971009,0,0,0,767.61,0,0.00,0,768
خاور-ت,13971010,763.54,764,764,763.54,14405892,10804419000.00,780,768
خاور-ت,13971011,0,0,0,763.54,0,0.00,0,764
خاور-ت,13971012,783.90,804,784,788.99,40778969,31586443610.00,2050,764
خاور-ت,13971015,813.42,814,813,813.42,36624083,29270323369.00,1955,789
خاور-ت,13971016,0,0,0,813.42,0,0.00,0,813
خاور-ت,13971017,828.69,839,829,830.73,41476205,33860173760.00,2224,813
خاور-ت,13971018,0,0,0,830.73,0,0.00,0,831
خاور-ت,13971019,0,0,0,830.73,0,0.00,0,831
خاور-ت,13971022,0,0,0,830.73,0,0.00,0,831
خاور-ت,13971023,0,0,0,830.73,0,0.00,0,831
خاور-ت,13971024,834.80,835,785,809.35,10826622,8608862621.00,475,831
خاور-ت,13971025,0,0,0,809.35,0,0.00,0,809
خاور-ت,13971026,791.02,791,785,790.01,23971198,18606137862.00,1400,809
خاور-ت,13971029,795.10,813,795,797.13,18690775,14641026475.00,1031,790
خاور-ت,13971030,0,0,0,797.13,0,0.00,0,797
خاور-ت,13971101,823.60,824,799,815.46,17254304,13814698528.00,758,797
خاور-ت,13971102,0,0,0,815.46,0,0.00,0,815
خاور-ت,13971103,842.94,847,843,842.94,54742972,45346700056.00,2970,815
خاور-ت,13971106,892.83,893,855,879.59,18932294,16350226820.00,986,843
خاور-ت,13971107,0,0,0,879.59,0,0.00,0,880
خاور-ت,13971108,0,0,0,879.59,0,0.00,0,880
خاور-ت,13971109,875.52,958,835,921.33,61319201,55522162192.00,4721,880
خاور-ت,13971110,928.46,962,902,930.50,56405777,51559668028.00,3688,921
خاور-ت,13971113,924.39,924,848,882.65,29598936,25669338843.00,2215,930
خاور-ت,13971114,881.63,928,835,882.65,56050270,48619962658.00,4210,883
خاور-ت,13971115,911.15,937,896,910.14,26322504,23542252582.00,1871,883
خاور-ت,13971116,911.15,911,876,887.74,15527947,13539902740.00,1115,910
خاور-ت,13971117,896.90,916,853,879.59,33558108,29005372645.00,2519,888
خاور-ت,13971121,897.92,912,864,887.74,24138223,21057952368.00,1659,880
خاور-ت,13971123,868.40,884,843,852.11,16115280,13490161090.00,1298,888
خاور-ت,13971124,841.93,855,810,821.57,24299627,19602248928.00,1809,852
خاور-ت,13971127,824.62,844,799,816.48,22736018,18244475788.00,1828,822
خاور-ت,13971128,804.26,804,765,776.77,19755940,15081183349.00,1634,816
خاور-ت,13971129,783.90,805,777,794.08,11792494,9202500881.00,905,777
خاور-ت,13971130,794.08,831,786,814.44,12942483,10350438803.00,1088,794
خاور-ت,13971201,813.42,824,784,802.22,11615445,9150937752.00,900,814
خاور-ت,13971204,788.99,848,784,811.39,18988962,15136955937.00,1413,802
خاور-ت,13971205,824.62,854,810,829.71,16612408,13538033333.00,1374,811
خاور-ت,13971206,813.42,839,794,811.39,18893223,15056883604.00,1364,830
خاور-ت,13971207,793.06,794,775,783.90,16793534,12925624518.00,1246,811
خاور-ت,13971208,801.20,801,775,780.84,11675152,8957775421.00,956,784
خاور-ت,13971211,794.08,794,766,774.74,12655070,9636126141.00,903,781
خاور-ت,13971212,767.61,789,757,768.63,19600851,14789137992.00,1426,775
خاور-ت,13971213,774.74,783,757,768.63,15979527,12058698567.00,1047,769
خاور-ت,13971214,772.70,773,743,752.34,12921949,9544552369.00,1036,769
خاور-ت,13971215,748.27,762,748,753.36,12018310,8898682743.00,827,752
