<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
بايكا-ت,13910712,0,0,0,68.33,0,0.00,0,0
بايكا-ت,13910715,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910716,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910717,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910718,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910719,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910722,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910723,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910724,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910725,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910726,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910729,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910730,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910801,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910802,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910803,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910806,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910807,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910808,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910809,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910810,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910814,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910815,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910816,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910817,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910820,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910821,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910822,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910823,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910824,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910827,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910828,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910829,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910830,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910901,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910906,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910907,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910908,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910911,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910912,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910913,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910914,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910915,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910918,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910919,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910920,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910921,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910922,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910925,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910926,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910927,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910928,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13910929,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911002,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911003,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911004,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911005,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911006,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911009,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911010,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911011,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911012,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911013,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911017,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911018,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911019,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911020,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911024,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911025,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911026,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911027,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911030,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911101,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911102,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911103,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911104,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911107,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911108,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911109,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911111,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911114,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911115,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911116,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911117,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911118,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911121,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911123,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911124,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911125,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911128,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911129,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911130,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911201,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911202,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911205,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911206,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911207,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911208,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911209,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911212,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911213,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911214,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911215,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911216,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911219,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911220,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911221,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911222,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911223,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911226,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911227,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13911228,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920105,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920106,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920107,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920110,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920111,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920114,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920117,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920118,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920119,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920120,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920121,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920124,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920126,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920127,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920128,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920131,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920201,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920202,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920203,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920204,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920207,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920208,0,0,0,68.33,0,0.00,0,68
بايكا-ت,13920209,0,0,0,68.33,0,0.00,0,68
