<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جهرم-ت,13901013,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901014,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901017,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901018,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901019,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901020,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901021,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901025,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901026,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901027,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901028,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901101,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901103,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901105,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901108,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901109,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901110,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901111,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901112,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901115,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901116,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901117,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901118,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901119,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901123,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901124,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901125,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901126,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901129,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901130,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901201,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901202,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901203,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901206,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901207,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901208,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901209,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901210,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901213,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901214,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901215,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901216,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901217,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901220,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901221,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901222,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901223,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901224,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901227,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13901228,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910105,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910106,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910107,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910108,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910109,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910114,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910115,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910116,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910119,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910120,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910121,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910122,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910123,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910126,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910127,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910128,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910129,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910130,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910202,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910203,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910204,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910205,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910209,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910210,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910211,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910212,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910213,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910216,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910217,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910218,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910219,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910220,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910223,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910224,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910225,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910226,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910227,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910230,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910231,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910301,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910302,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910303,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910306,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910307,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910308,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910309,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910310,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910313,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910316,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910317,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910320,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910321,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910322,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910323,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910324,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910327,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910328,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910330,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910331,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910403,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910404,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910405,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910406,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910407,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910410,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910411,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910412,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910413,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910414,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910417,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910418,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910419,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910420,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910421,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910424,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910425,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910426,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910427,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910428,0,0,0,798.86,0,0.00,0,799
جهرم-ت,13910431,0,0,0,798.86,0,0.00,0,799
